song_id,song_title,artist_id,artist_name,lyrics,language,label,augmentation,augmentation_idx,source_row_idx,augmentation_slot
4175,Rompe,294,Daddy Yankee,"You know, los capos están ready, las mamis están ready, y en la calle estamos ready, yeah, yeah, andamos ready, los barrios están ready, one, two, get ready, come on!, oh, oh, oh, oh!. Rompe, rompe, rompe, bien guilla'o, rompe, rompe, rompe, ese cuerpo ella lo–, rompe, rompe, rompe, bien guilla'o, are you ready?, rompe, rompe, rompe, break it down, rompe, rompe, rompe, the way she moves, ella lo–, rompe, rompe, rompe, break it down, let's go. My boo, no se limita a la hora de romper su pum-pum, con curvas más calientes que el sur, right through, enséñame si tienes la actitud, mami, dale, go! Dale, go! Dale, go! Go!, tiempo; llegó el momento, baby, de perder el control, trabájame ese cuerpo más que un shot de Winstrol, sube ese temperamento, dame movimiento, lento, lento, ella lo–. Rompe, rompe, rompe, bien guilla'o, rompe, rompe, rompe, ese cuerpo ella lo–, rompe, rompe, rompe, bien guilla'o, are you ready?, rompe, rompe, rompe, break it down, rompe, rompe, rompe, the way she moves, ella lo–, rompe, rompe, rompe, break it down, g-Go! G-Go! G-Go! G-Go!. Voy chillin', tranquilo, that's right, buscando una gata que cae, no escondas todo eso que traes, yo', baby, ¿qué es la que hay?, voy chillin', tranquilo, that's right, buscando una gata que cae, no escondas todo eso que trae', ¿Qué pasa, socio, qué es la que hay?, what? What? What? What?. Pinche, güey, ¿pensaste que esto era un mamey?, no vo' a dar break, deja ese guille de Scarface, get out my way, usted no vende ni en eBay, no das pa' na', conmigo 'tás Frito-Lay, chequea el swing, que se le pega a to'as las nenas más que un G-string, yo soy la pesadilla de todo' los dream team, ya se te acabó el magazine, conmigo no te la guilles, pa', de Listerine, daddy te–. Rompe, rompe, rompe, bien guilla'o, rompe, rompe, rompe, ese cuerpo ella lo–, rompe, rompe, rompe, bien guilla'o, are you ready?, rompe, rompe, rompe, break it down, rompe, rompe, rompe, the way she moves, ella lo–, rompe, rompe, rompe, break it down, let's go. You know!, oh!, oh!, en Directo, oh!, oh!, daddy Yankee, yo', con Los Jedis, Monserrate & DJ Urba, fish! Jaja, it's official!, daddy Yankee!, cartel Records, en Directo, who's this?, jajaja.",es_LATAM,M,original,,,
87563,Me Estás Tentando,381,Wisin & Yandel,"La Mente Maestra, hace rato que tu mirada me anda diciendo que, te encantaría pasar una noche llena de, jajaja Fuego, fuego, ella sabe, es El Capitán W en sociedad con Yandel, ustedes saben quiénes somos nosotros Ah. Me estás tentando, hace rato que te ando velando, oh, oh W, Yandel, tu cuerpo rozándome, eh, eh, estás excitándome, eh, eh Los líderes; ey, me estás tentando, hace rato que te ando velando, oh, oh ¿Quiénes son?, tu cuerpo rozándome, eh, eh Tú sabes quiénes son, estás excitándome, eh, eh Ey, permiso. Mi caramelo se suelta el pelo, dale ron con hielo Pah, dale, rompe el suelo Du-ro, estamo' ready pa'l duelo, el cuello le huelo, ella está en celo, ella es la reina del party Tú sabes, como gata vulgary, dale, somebody at it Plah, al novio tuyo déjalo jugando Atari, y tú, dale pa'l party, modela, no me des gabela Ajá, y déjame echarle por encima Nutella, llegó el tiburón a comerse la sirena, ąBoom, boom! Dale, nena. Me estás tentando Ey, hace rato que te ando velando, oh, oh Tú sabe', tu cuerpo rozándome, eh, eh, estás excitándome, eh, eh, me estás tentando Plah; ey, hace rato que te ando velando, oh, oh, tu cuerpo rozándome, eh, eh, estás excitándome, eh, eh. Qué violento Oh, oh, oh, oh, cuando te pegas a mi cuerpo lento Estoy mirándote desde hace rato; oh, oh, oh, oh, cuando suspiras y me das de tu aliento, oh-oh, no te miento, oh-oh Tú sabes, qué sediento, oh-oh, me siento, oh-oh ĄW!. Llegó el tíguere de bengala más rápido que una bala Hah, hah, relájate, ponte cómoda, inhala y exhala Ajá, con este ritmo tienes que bailar a la mala, dale, mete presión, coraje y sube la escala Duro, coqueta, maleta, maquillaje y las chancleta', el pantalón apreta'o, guayando en una loseta Ajá, mami, llegó tu doctor a darte la receta ¿Qué?, aprieta ĄDuro!; tah; ah. Me estás tentando Ajá, hace rato que te ando velando, oh, oh Los líderes, tu cuerpo rozándome, eh, eh, estás excitándome, eh, eh, me estás tentando, hace rato que te ando velando, oh, oh Tú estás fronteando conmigo, tu cuerpo rozándome, eh, eh Ajá, estás excitándome, eh, eh Heh. Qué violento Oh, oh, oh, oh, cuando te pegas a mi cuerpo lento Oh, oh, oh, oh, cuando suspiras y me das de tu aliento, oh-oh, no te miento, oh-oh Ajá, qué sediento, oh-oh, me siento, oh-oh. Como las palabras se las lleva el viento, tanto W como Yandel, Nesty, Víctor El Nasi, Marioso, nos hemos dado la tarea de sobrepasar los niveles musicale', ustedes saben ya, el capítulo de hoy se llama La Mente Maestra, ąSube, sube! Los Líderes, ąHah!.",es_LATAM,M,original,,,
90914,Obsesión,548,Aventura (Ft. Judy Santos),"Something flavored, Aventura, hello?, shh, solo escucha. Son las cinco 'e la mañana y yo no he dormido nada, pensando en tu belleza, en loco voy a parar, el insomnio es mi castigo, tu amor será mi alivio, y hasta que no seas mía no viviré en paz, hoy conocí tu novio, pequeño y no buen mozo, y sé que él no te quiere, por su forma de hablar, además, tú no lo amas, porque él no da la talla, no sabe complacerte como lo haría yo, pero tendré paciencia, porque él no es competencia, por eso no hay motivos para yo respetarlo. No, no es amor, lo que tú sientes se llama obsesión, una ilusión, en tu pensamiento, que te hace hacer cosas, así funciona el corazón. Bien vestido y en mi Lexus pasé por tu colegio, me informan que te fuiste, como un loco te fui a alcanzar, te busqué y no te encontraba, y eso me preocupaba, para calmar mi ansia yo te quería llamar, pero no tenía tu número, y tu amiga ya me lo negó, ser bonito mucho me ayudó, y eso me trajo la solución, yo sé que le gustaba, y le di una mirada, con par de palabritas tu número me dio, del celular llamaba y tú no contestabas, luego te puse un beeper y no había conexión, mi única esperanza es que oigas mis palabras, no puedo, tengo novio, no me enganches, por favor. No, no es amor Escúchame por favor, lo que tú sientes ¿Qué es? se llama obsesión, una ilusión Estoy perdiendo el control, en tu pensamiento, que te hace hacer cosas, así funciona el corazón, mi amor, por Dios no me enganches, espérate, que hay más. Hice cita pa'l psiquiatra, a ver si me ayudaba, pues ya no tengo amigos por solo hablar de ti, lo que quiero es hablarte, para intentar besarte, ¿Será posible que de una obsesión me pueda morir?, y quizás pienses que soy tonto, privón y también loco, pero es que en el amor soy muy original, me enamoro como otros, conquisto a mi modo, amar es mi talento, te voy a enamorar, disculpa si te ofendo, pero es que soy honesto, con lujo de detalles, escucha mi versión, pura crema y chocolate, untarte y devorarte, llevarte a otro mundo en tu mente, corazón, ven vive una aventura, hagamos mil locuras, voy a hacerte caricias que no se han inventa'o. Let me find out, no es amor, no es amor, es una obsesión Oh, no, no es amor, no es amor No, no, es una obsesión No, woah, no es amor, no es amor, es una obsesión No, woah, no es amor, no es amor Uuh, es una obsesión Yeah, yeah, yeah, uh, no es amor, no es amor, es una obsesión, hey.",es_LATAM,M,original,,,
91785,Gasolina,294,Daddy Yankee,"Oh, oh, oh, oh, oh, oh, oh, hey Who's this? Da-ddy Yan-kee, zúmbale mambo pa' que mis gata' prendan los motore', zúmbale mambo pa' que mis gata' prendan los motore', zúmbale mambo pa' que mis gata' prendan los motore', que se preparen que lo que viene es pa' que le den, duro Mamita, yo sé que tú no te me va' a quitar, duro Lo que me gusta es que tú te dejas llevar, duro Todos los weekenes ella sale a vacilar, duro Mi gata no para 'e janguear, porque, a ella le gusta la gasolina, dame más gasolina, cómo le encanta la gasolina, dame más gasolina, a ella le gusta la gasolina, dame más gasolina, cómo le encanta la gasolina, dame más gasolina, ella prende las turbina', no discrimina, no se pierde ni un party de marquesina, se acicala hasta pa' la esquina, luce tan bien que hasta la sombra le combina, asesina, me domina, janguea en carros, motoras y limusinas, llena su tanque de adrenalina, cuando escucha reggaetón en las bocina', a ella le gusta la gasolina Oh, oh, dame más gasolina Oh, oh, cómo le encanta la gasolina Oh, oh, dame más gasolina Oh, a ella le gusta la gasolina Oh, oh, dame más gasolina Oh, oh, cómo le encanta la gasolina Oh, oh, dame más gasolina Oh, aquí somos los mejores, no te me ajore', en la pista nos llaman Los Matadore', tú hace' que cualquiera se enamore, cuando bailas al ritmo de los tambore', esto va pa' las gatas de to's colore', pa' las mayore', pa' las menore', pa' las que son más zorras que los cazadore', pa' las mujeres que no apagan sus motore', tenemo' tú y yo algo pendiente, tú me debe' algo y lo sabe', conmigo ella se pierde, no le rinde cuentas a nadie, tenemo' tú y yo algo pendiente, tú me debe' algo y lo sabe', conmigo ella se pierde, no le rinde cuentas a nadie, zúmbale mambo pa' que mis gata' prendan los motore', zúmbale mambo pa' que mis gata' prendan los motore', zúmbale mambo pa' que mis gata' prendan los motore', que se preparen que lo que viene es pa' que le den, duro Mamita, yo sé que tú no te me va' a quitar, duro Lo que me gusta es que tú te dejas llevar, duro Todos los weekenes ella sale a vacilar, duro Mi gata no para 'e janguear, porque, a ella le gusta la gasolina Oh, oh, dame más gasolina Oh, oh, cómo le encanta la gasolina Oh, oh, dame más gasolina Oh, a ella le gusta la gasolina Oh, oh, dame más gasolina Oh, oh, cómo le encanta la gasolina Oh, oh, dame más gasolina Oh, oh, oh, oh, oh, oh, oh, oh, oh.",es_LATAM,M,original,,,
91793,"Lo Que Pasó, Pasó",294,Daddy Yankee,"Ah, ah, dale mambo Woh-oh, ah, dale mambo Entre tú y yo, daddy Yeah-eh, son cosas que pasan en el barrio fino. Esta noche contigo la pasé bien Woh-oh, pero yo me enteré que te debes a alguien Yeah-eh, y tú fallaste, pero ya es tarde, y tú fallaste, pero ya es tarde. Lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo. ĄDaddy!, e' una asesina, ella conlleva a la medicina, engañadora que te envuelve y te domina, una abusadora; ella como sabe, te devora, y si no tiene' experiencia, te enamora, una especialista hará que te ponga ella a la vista, va al asecho y será' uno má' en su lista, ¿Que si e' maliciosa? Yo, que la traté como una diosa, me engañó y ahora me llama como loca, ajá. Presea, dale, presea, si ya no estamo' junto', otra mujer me gardea, mami, presea, dale, presea, que poco' son los indio', hay mucha' india' en la aldea, ¿sabe'?, presea, dale, presea, no dejes pa' mañana lo de hoy, que te lo llevan, ma, presea, dale, presea, ahora está' celosa porque otra me desea, ajá. Esta noche contigo la pasé bien Woh-oh, pero yo me enteré que te debes a alguien Yeah-eh, y tú fallaste, pero ya es tarde, y tú fallaste, pero ya es tarde. Lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo. Presea, dale, presea, si ya no estamo' junto', otra mujer me gardea, mami, presea, dale, presea, que poco' son los indio', hay mucha' india' en la aldea, ¿sabe'?, presea, dale, presea, no dejes pa' mañana lo de hoy, que te lo llevan, ma, presea, dale, presea, ahora está' celosa porque otra me desea, ajá Dile'. Yo estoy soltero, mai, y tú presea', yo saco otra a bailar y tú presea', tú come' en to's lao' y me presea', si tienes dueño, ma, ¿por qué presea'?, vamo' a dejar esto claro ya, ¿okey?. Lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo, lo que pasó, pasó Entre tú y yo. Ah, ah, dale mambo, ah, dale mambo, luny Tunes, son cosas que pasan en el barrio fino, ąDaddy!, ąEliel!, siguiri-Da-Da– Woh-oh, siguiri-Da-Da–, daddy Yankee, yo', come on! Woh-oh.",es_LATAM,M,original,,,
94950,Trae Ese Ron,58,Violadores del Verso,"Somos los típicos joteros que curramos poco, si en la Jota hay cabrones yo soy un cabrón más, mamones no lo quieren cuando cogemos el micro, si hace falta yo soy el don, Javier Ibarra es el que canta, así es como cuelga.... rompiendo la mierda abajo, no tenemos miedo a ningún MC bastardo..., trae esa mierda pa' acá ya, vengo del mejor grupo que parió una puta llamada España, ąPuta España! ¿Ok? Me cago en el rey, vivo en la montaña, bajo a la ciudad, y ¿qué me encuentro? Maldad en los niños, hay cuarenta y un grados ahí fuera, no sé qué será pero me da que es en la atmósfera, y la peña no se entera, si no hay justicia no hay paz, y vuestro puto Todo por la patria me hace vomitar, escuchad: la ley subyuga, los pájaros se quieren fugar, no, los niños ya no juegan por jugar, no vengas aquí si eres militar, te vamos a debilitar, a quitar las ganas de gritar, trae ese ron es la canción de los que saben que el dinero es la condena del hombre, en nombre de la muerte vino el hambre y se llevo a tres niños, y no, no eran los nietos del rey, yo estoy más guapo callado, ¿Vas a venir a callarme tú con terrorismo de estado?, ¿Te dí permiso para fabricar bombas con mis impuestos? No, pues entonces no lo llames democracia, no hay justicia si la guerra esta justificada, bajo el signo de la fábula crucificada, bajo la cruz justifican genocidio, y con la cruz golpean hasta el homicidio, no es por Dios, es por el monopolio del petróleo, ąDios no tiene odio, coño!, no es por las victimas, más victimas no resucitarán vuestras victimas, y así va la historia de vuestra gloria, es escoria, tiranos en Europa, América, Çfrica, Asia y Oceanía, tenemos miedo a vuestra sangre fría, no es un mensaje es un insulto, todos somos adultos, no, yo no soy uno mas en el bulto, yo estoy jodido porque no puedo esconderme y sólo puedo beber..., ąTrae ese ron joder, joder!, ąTrae ese ron joder!, trae ese ron de vuelta acá, trae ese ron de vuelta acá, trae ese ron de vuelta a acá, pásate ese maca, pásate ese maca, trae ese ron de vuelta acá, trae ese ron de vuelta acá, trae ese ron de vuelta a acá, pásate ese maca, pásate ese maca, cada vez más sordo, cada vez más loco, tampoco estoy roto pero por poco, cada vez más solo, y cada vez más triste, cada vez más cadáver ¿Quién coño resiste?, trae ese ron es la canción de los alcohólicos por desamor que viven soñando, viven cantando, y yo estoy entrenando estos versos perfectos que he estado pensando, harto de tanto falso dando saltos, lanzo hardcore vasto en párrafos largos, ¿Tú quieres ser un MC? Te doy mucho trabajo, haz balance, chimpancé, no estoy a tu alcance, te matarán las llamaradas, camarada, para nada pararás la ráfaga que K te lanza a la cara, nada que ver con Chayanne, mis palabras estallan, cuando yo sueno críticos y fans callan, se rayan, saludos desde el lodo, ni por todo el oro del globo vendo mi método, yo sólo jodo rimas en ritmos, coño, defiendo mi apodo y el de mi grupo, por eso ocupo un puesto en tu loro, co, mi flow es barroco, exagerado, nunca a lo loco, se que se que yo rompo todo lo que toco, y así toqué tu orgullo, y así concluyó el murmullo, desde que mi rap destructor fluyó, es mi ejercicio, una virtud y un vicio, son gajes del oficio cuando fans me sacan de quicio, no soy Jon Bon Jovi, sueno bastante más heavy que Sifreddi, la pregunta es: ¿Para qué cantáis si no sentís?, ¿Putas del rap a mí? ¿Putas del pop a mí?, debéis ir de tripi entiendo a los que me rechazan, hay otros que me abrazan, y otros me llaman y me amenazan, co, si no brillo yo, brilla mi ausencia, no me odiáis a mí, odiáis a vuestra impotencia, ¿Sólo por sacar un disco ya soy una estrella?, igual eres tú el gilipollas..., ąTrae esa botella!, ąTrae ron!, trae ese ron de vuelta acá, trae ese ron de vuelta acá, trae ese ron de vuelta a acá, pásate ese maca, pásate ese maca, trae ese ron de vuelta acá, trae ese ron de vuelta acá, trae ese ron de vuelta a acá, pásate ese maca, pásate ese maca, escupo este barro sobre una instrumental de la R, peña haciendo mierda, pan sin mierda, que son juguetones ¿Como qué? Y toda esa mierda ahí fuera, me clavo las espinas de las rosas que piso, mi nombre es Javi, pero tú diosa... Tú puedes llamarme Dionisio, besarme sin permiso, secarme el sudor sin prisa, y si improviso, dedicarme una sonrisa, trae ese ron es la canción, kase.O es el artista, nena, pásate ese maca, yo vivo como si la muerte no existiera, nada quiero, nada espero, nada llega, recuerda, duermo en tu tejado, cada vez que sueno en tu cadena resucito, es mucho más que un rito en la rutina, de los celos de tu novio en cada esquina, vigilándote tus padres, los amigos, las amigas, vive la utopía, nada es lógico, un sueño cada día no es algo paradójico, estudié filosofía en Kami, en Fuetherfirst, y en el Tremendo Menda, nena, ya te dejaré una cinta, recomiendo a Da Vinci no a DiCaprio, saben mejor los labios de los sabios y saben más, a mí las fiestas me deprimen, y más cuando chavalas desalmadas deciden cometer su crimen conmigo, ¿Qué coño le he hecho yo a tu ombligo?, prometo una resaca de champagne y ser un buen amigo, mal marido, no son latidos, son alaridos, no tomo ácidos, pero en mi almohada se oyen ruidos, son canciones inolvidables, no soy un Lucho Gatica, conozco los caprichos de la métrica, y así se explica que una voz sea fantástica, y mi técnica ebria resulte drástica en tu esvástica, yo soy inteligente y mi suegro dijo:, me alegro por tu cerebro, pero ¿dónde esta la pasta?, buscando ayuda en un bolsillo me encontré un agujero, y me cabía un dedo, y dos, y me rasqué los huevos, me casco pajas haciendo memoria, igual que tú, sólo una embolia podrá separarnos, esa es mi cruz, necesito organizar todo esto, no es excusa, pero está escrito sin musa, es demasiado vértigo, para un tímido subir tu líbido, soy un vividor inofensivo sin un líquido, por eso te lo pido por favor y con motivos, hasta seis veces en el estribillo, trae ese ron de vuelta acá, trae ese ron de vuelta acá, trae ese ron de vuelta a acá, pásate ese maca, pásate ese maca, trae ese ron de vuelta acá, trae ese ron de vuelta acá, trae ese ron de vuelta a acá, pásate ese maca, pásate ese maca, si hacemos bombo clap, ya sabes de que estoy hablando, la Jota es la Jota, la peña andando por ahí, donde estan los colegas. Sabes mucha peña no sabe dónde va, pero lo tienen todo ya pensado....",es_ES,NM,original,,,
99880,Noche de Travesura,428,Héctor –El Father– (Ft. Divino),"Esta noche es de travesuras, esta noche hazme travesuras, te vo'a devorar en la noche oscura, esta noche hazme travesuras, tú estás cucando mi calentura, esta noche hazme travesuras, y te vo'a devorar, mami, cuenta y jura, esta noche hazme travesuras. Dímelo, qué vas a hacer, si me hago dueño de tu piel, si por la noche te hago enloquecer, dímelo, qué vas a hacer, dímelo, qué vas a hacer, si me hago dueño de tu piel, si por la noche te hago enloquecer, y dímelo, qué vas a hacer. Dale, mambiche, quieto, o te apago el switche, ronque lo que ronque, papi, sigo siendo el teacher, no seas metiche, papi, esto es a lo niche', mucha culeaera pa' que el guardia no te fiche, oye, malandriche, tu esboca'o y yo bien pitcher, tú no metes cabras, saramambiche, y si te me esbocas, nos vamos al switche, saquen de la disco a las que no chiche, báilalo, azaroso, quieta gata, que llegó el bambosso, luny el de la torta, pero yo no vendo coso', porque tengo combo dicen que soy un mafioso, como ellos no tienen, ya tú sabe', 'tán celoso', tunes, replica el mambo que llegó el más poderoso, naldo, el saca monstruo que los tiene a to's furioso', si las gatas bailan en la pista, fabuloso, tírenme, muchachos, que yo no soy rencoroso, luny, y quién es más bachatero que nosotros, jajaja. Esta noche es de travesuras, esta noche hazme travesuras, te vo'a devorar en la noche oscura, esta noche hazme travesuras, tú estás cucando mi calentura, esta noche hazme travesuras, y te vo'a devorar, mami, cuenta y jura, esta noche hazme travesuras. Báilalo, azaroso, quieta gata, que llegó el bambosso, luny el de la torta, pero yo no vendo coso', porque tengo combo dicen que soy un mafioso, como ellos no tienen, ya tu sabes, están celosos, tunes, replica el mambo que llegó el más poderoso, naldo, el saca monstruo que los tiene a to's furiosos, si las gatas bailan en la pista, fabuloso, tírenme, muchachos, que yo no soy rencoroso. ¿Qué vas a hacer?, si me hago dueño de tu piel, si por la noche te hago enloquecer, dímelo, qué vas a hacer, dímelo, qué vas a hacer, si me hago dueño de tu piel, si por la noche te hago enloquecer, dímelo, qué vas a hacer. ĄHector El Bambino y Divino!, nos fuimos con la bachata bien duro, lunyTunes, nelly El Arma Secreta, to' el mundo en la discoteca, nos fuimos hasta abajo!, mami, hasta abajo, nos fuimos hasta abajo, mami, hasta abajo, nos fuimos hasta abajo, ąNos fuimos!. Báilalo, azaroso, báilalo, azaroso, que llegó el bambosso, que llegó el bambosso, báilalo, azaroso, báilalo, azaroso, llegó el más poderoso, llegó el más poderoso, si las gatas bailan en la pista, fabuloso, si las gatas bailan en la pista, fabuloso, si las gatas bailan en la pista, fabuloso, llegó el más poderoso.",es_LATAM,M,original,,,
103048,Cucurrucucú paloma,28,Julio Iglesias,"Dicen que por las noches, no más se le iba en puro llorar;, dicen que no comía, no más se le iba en puro tomar, juran que el mismo cielo, se estremecía al oír su llanto, cómo sufrió por ella, y hasta en su muerte la fue llamando:, ay, ay, ay, ay, ay cantaba, ay, ay, ay, ay, ay gemía, ay, ay, ay, ay, ay cantaba, de pasión mortal moría, que una paloma triste, muy de mañana le va a cantar, a la casita sola, con sus puertitas de par en par;, juran que esa paloma, no es otra cosa más que su alma, que todavía espera, a que regrese la desdichada, cucurrucucú paloma, cucurrucucú no llores, las piedras jamás, paloma, ¿qué van a saber de amores?, cucurrucucú, cucurrucucú, cucurrucucú, cucurrucucú, cucurrucucú, paloma, ya no le llores.",es_ES,NM,original,,,
109594,¿Con Quién Se Queda El Perro?,37,Jesse & Joy,"Dices que el sofá te trata bien aunque sea un poco frío, la cama no está mal aunque no estés, lo hecho, hecho está y la verdad hicimos mucho daño, no busco a quien culpar, ya para qué, presiento que no hay marcha atrás, sé que esta vez no hay marcha atrás. Antes de que echemos las maletas a la calle, y bajemos el telón, si tú te vas y yo me voy, esto ya es en serio, si tú te vas y yo me voy, ¿con quién se queda el perro?. Si no me ves llorar es sólo que mi orgullo no me deja, me cuesta imaginar que no estarás, termino de empacar sintiendo que no queda otra salida, te dejo el tostador y los cedés, si tú te vas y yo me voy, si tú te vas y yo me voy–Ś. Antes de que echemos las maletas a la calle, y bajemos el telón, si tú te vas y yo me voy, esto ya es en serio, si tú te vas y yo me voy, ¿con quién se queda el perro?. Si quieres llévate el Picasso, que al cabo es una imitación, y dime quién se queda con los restos de este amor, si tú te vas y yo me voy, si tú te vas. Antes de que echemos las maletas a la calle, y convertirnos en extraños muy cordiales, y bajemos el telón, si tú te vas y yo me voy, ya no hay más remedio, si tú te vas y yo me voy, esto ya es en serio, si tú te vas y yo me voy, ¿con quién se queda el perro?.",es_LATAM,NM,original,,,
136897,Ser o No Ser,913,Nach (Ft. Lírico),"Hoy la palabra es parábola y vuela como las gárgolas, la palabra es la bala directa a vuestras mandíbulas, la plaga que se propaga como el ébola, la fecha colocada en el arco de Légalas, no me llaméis hijo prodigo, pues soy el hijo prodigio, los hackers buscan mi código, jamás darán con el válido, en este mundo tan rápido, vosotros cojos e inválidos, flojos y pálidos de materia gris Escuálidos, yo soy la luz del vampiro, el fuego ante el escorpión, soy el secreto escondido en papiros, soy la inyección, que paraliza a MC's igual que a estatuas de piedra, yo soy el que trae esa mierda que os hace decir: Mierda, soy el extraño muchacho que rompe el músculo en tu pecho, la grieta de tu techo, transformo dichos en hechos, y así penetro en ti como este aire que respiras, soy el rumor entre esquinas y avenidas, soy el ruido del silencio, soy la sombra en tu salón, soy Vesubio en tu Pompeya si tu intención es traición, soy el antiguo proverbio, tu remedio y perdición, el chico con insomnio que da vueltas en su habitación, soy quien removió las sucias aguas del Hip-Hop, el ladrón 41, la noche número 1002, soy el 13 de tu martes, soy el as en el descarte, soy tu adiós, soy inquebrantable como tu estúpida fe en Dios, soy el sonido del oprimido, la voz del enemigo, de ese verbo imperativo, soy el mal sabor del amor no correspondido, el gladiador que dejó al emperador vencido, soy el elegido para construir palacios, soy otro tiempo, soy otro espacio, otro con virtudes y vicios vividos despacio, que con un micro bajo el brazo nació Necios, soy el precio a pagar por quererlo todo, la mirada sospechosa que se ha transformado en robo, soy la perfección de un cubo de Rubik Ajá, el sentido de una película de Stanley Kubrick, soy el universo que el verso resucitó, soy el que no cayó, jamás calló y nunca creyó, soy aquel que siempre vio que algo ganó cuando perdió, como Mazinger Zatu, siempre fuerte, así soy yo, tranqui, hay que mostrarse, sin complicarse, sin enfadarse, dando margen a equivocarse, comportarse, tipos no pueden superarse sin esforzarse, prefieren conformarse y eso es engañarse. Tranqui, si puede hacerse, no hay que pararse, es conocerse, jamás rendirse, no limitarse, muchos para ganarse el respeto, juegan a odiarse y a esconderse, y eso es engañarse, tan- Tan- Tan importante es el ser o estar, que todos quieren ser, que todos quieren estar, pero si alguien me llama, diles que no estoy Está bien, si me encuentran, diles que no soy, no soy ni un vendido, ni un farsante, ni nada semejante, yo siempre doy tanto tanto, sin hablar de cuánto cuánto, es lo que trato de hacer cuando mi intención en la vida es no ser, para llegar a ser, no soy No soy un héroe, a mí sí me salvan la vida cada día, los pequeños gestos todavía se sienten, sentimientos no mienten, no soy un buen ejemplo, pero tus papás me consienten, aprenden a cómo decirlo para que el mundo lo entienda, yo no soy Robin Hood, pero el Lírico tiene su leyenda, no soy un bobo, escapo si veo las orejas al lobo, yo, que era feliz con mi soldado de plomo y mi globo, quería vivir como un príncipe, era el sueño de cualquier gandul, pero ellos tienen un palacio y sangre azul, ahora me prestan atención como a un guía, y así la peña sigue el rumbo que marca mi R-A-P melodía, no soy ni tan simpático ni tan antipático, tormentas mentales provocan goteras en el ático, tenemos el Hip-Hop, somos conscientes de que tenemos algo, y que tú eres alguien, y que yo no soy quien, te dice lo que tienes que hacer, no soy ningún padre, cuido de mis compadres, yo seré el perro que les ladre, no soy tu enemigo, ni me creo el ombligo del mundo, yo llegué el primero y al segundo le pasé mi testigo, en memoria de los que están en el andamio y tienen vértigo, los que recogen trigo, los que pasan frío y buscan abrigo, saben que todo tiene su castigo y su premio, su humor y su mal genio, su minuto y su milenio, dime con quién andas y te diré quién eres, dame paz y respeto si puedes y te diré cómo eres, las apariencias engañan, la calle y los espejos escupen la verdad sin escrúpulos, desde todos los ángulos, podría decir que dos y dos son cinco y mucha peña lo creería, pero perdería credibilidad, yo no pongo mi reputación en juego, sólo un gesto sincero, ante el micro de acero, r-A-P porque sí, pero..., tranqui, hay que mostrarse, sin complicarse, sin enfadarse, dando margen a equivocarse, comportarse, tipos no pueden superarse sin esforzarse, prefieren conformarse y eso es engañarse. Tranqui, si puede hacerse, no hay que pararse, es conocerse, jamás rendirse, no limitarse, muchos para ganarse el respeto, juegan a odiarse y a esconderse, y eso es engañarse, ajá, sí, suena bien, lírico, te lo pone ahí, ¿qué pasa, Nacho?, alicante, Zaragoza, ay, s- s-, viniste a verme, sí, la Ciudad Nunca Duerme, ajá, Poesía Difusa, yeah, tú mismo, oye, ya lo sabes, tú mismo, Ser o No Ser.",es_LATAM,NM,original,,,
