id,lyrics,label,augmentation
T1_TRAIN_0001,"Llama no importa la hora que yo estoy aquí
Entre las cuatro paredes de mi habitación
Y es importante al menos decirte
Que esto de tu ausencia duele, y no sabes cuanto
Ven aparece tan sólo comunícate
Que cada hora es un golpe de desolación
Es demasiado aburrido no estar a tu lado

Ven que mi alma no quiere dejarte ir
Que los minutos me acechan, aquí todo es gris
Que alrededor todo es miedo y desesperanza
Ven que nunca imaginaba como era estar sola
Que no es nada fácil cuando te derrotan
Que no sé que hacer, y aquí no queda nada de nada

No me enseñaste cómo estar sin ti
¿Y qué le digo yo a este corazón?
Si tu te has ido y todo lo perdí
¿Por dónde empiezo, si todo acabó?
¿Cómo olvidarte si nunca aprendí?

Llama y devuélveme todo lo que un día fui
Esta locura de verte se vuelve obsesión
Cuando me invaden estos días tristes
Siempre recuerdo mi vida, yo como te amo
Ven que mi cuerpo la pasa extrañándote
Que mis sentidos se encuentran fuera de control
Es demasiado aburrido no estar a tu lado",NM,original
T1_TRAIN_0002,"Pachin!

Viajera, te vas de puerta en puerta
Buscando quien te quiera
Viajera flor machita y destrichada
Que has perdido tu belleza
Sin dejar la primavera

Ni la sombra te pareces
De lo que fuistes un dia
Hoy te tengo compasion
Oigame mi amor!

Sufrimiento y soledad en tu vida si... eso lo que te espera

Entregandole a cualquiera, tus caricias ... mira pasajeras

Me expreso mi compasion, por tu condicion, y ya no te quiero viajera

Te vas de puerta en puerta, buscando quien te quiera

Hoy me alejo de ti, ya no te quiero a mi lado, mira morena

.... Oye agara la maleta, oye y vete para fuera!

A ti nunca te importo nada de mi, y tu lo sabes viajera!

Hoy reflejas en tu rostro, huellas de un triste pasado!

Has viajado Panama, Colombia y el Peru, y vienes de Venezuela

Tu tienes lo malo encima, por eso de ti ya yo! me fui mi nena!",M,original
T1_TRAIN_0003,"Te amare toda la vida
Todos los años, los meses y los dias
Todas las horas
Y todos los instantes
Mientras pueda latir mi corazón

Tendras las flores de mi amor
En primavera, en el verano
Aunmentara el calor con mi pasion
En el otoño",NM,original
T1_TRAIN_0004,"Flor de vida, flor de vida, flor de vida
Flor de vida
Los paisajes cambian
Las personas también
Un chico de carácter agradable
de suicidio, puede grabarlo en vídeo
de suicidio
Puede grabarlo en vídeo

Algo te atrae sin porqués, no se ve, cambia tu ser
Da sed, caes en un cuarto sin pared
No es de ayer, te consume, sube en tu interior
Es la maldad y el dolor que afloran sin condición
Hay quien llora cuando nota su alma sucia y rota
La calma mora y flota, no se coge ni se toca
No se encoge, pero explota, idiota, el rencor brota
Es peor que la farlopa, su olor queda en tu ropa
Está detrás de todo, de cualquier modo
Sin más, te puede encontrar
Sólo duele por los poros al principio
Sentimiento real y no ficticio
Mongolo es verdad, es el inicio
Miras y enfilas la salida que se estira, no respiras
Y encima, eso propina un bajón en la autoestima
Y te vuelves un cabrón que se fascina
Por la ira, por el daño y los extraños que caminan
Años atrás era imposible pensar
En follar con novia de alguno
Que os una algo muy puro que abruma a cualquiera
Sentimiento se esfuman
Por querer romper su culo en un futuro zulo o duna

La oscuridad cubre mi piel y tu cuerpo también
Los polos opuestos se atraen, los valores se caen
Esa parte de mí no conoce días felices
Se desinhibe, siente pavor por las cosas que ve
Por eso escribe, y ¿sabes qué? simplemente es tener sed
Miedo a la muerte, a las catástrofes, falta de fe
Esa parte de mí nunca sonríe ni busca apoyo
No está muerta, todas las noches duerme en su hoyo
Es una parte de mí que no conoces, pero sientes
Es un secreto a voces y tú ya sabes que te miente
No busca nada en concreto, es un experto
Y con frecuencia las personas me hacen perder el respeto
Señora no es Dios, es un cartel que promociona el cáncer
Con letras grandes y es la verdad
Tiene sus propias reglas, no se conforma
Se tranquiliza cuando lo beso, le doy forma como norma

Es una parte de mí que no puedo controlar
Una parte de mi cuerpo que me impide respirar
¿Quién te enseña a volar? No tengo apoyo
No está muerto y por las noches duerme dentro de un hoyo",M,original
T1_TRAIN_0005,"ba-baby
Muah, jajaja

Quiero que seas mía y nunca de nadie Baby, bebé
Si sigo en tu vida fue para quedarme Tú sabe'
Un amor verdadero nunca se comparte
Prometo darte todo y que nada te falte

Me enamoré de ti, de tu figura, de tu cara
Y ya no sé qué hacer, me voy a enloquecer
Dime si sigo aquí, si entrego todo lo que tengo
O me voy de aquí y te quedas sin mí

Contéstame el teléfono, mami, no digas que no
Mira que estoy solo y que te extraño en mi habitación
Yo sé que todavía escuchas Aventura
Y lo que siento por ti no es ninguna obsesión

Oye, mami, espérame en la puerta
Que voy a recogerte, espero que estés dispuesta
Que vine a recogerte, dime qué te cuesta

Me enamoré de ti, no sé si tú de mí
Yao', baby, mamacita
Dime si sigo aquí luchando para ver si algo te hago sentir
Escucha, jaja, cuando el amor llega a tu vida, llega para quedarse
De parte de Maluma, ba-ba-baby
Muah, jajaja",M,original
T1_TRAIN_0006,"Dejame pintarcon mis caricias
Un mundo de ilusiones que jamás conocerías
Déjame crear entre mis brazos
Ese castillo azul que tu soñaste desde niña

Y déjame calmar ese deseo que tus labios
Me pide a gritos que nunca me alejé de tu lado

Quiero regalarte mis manías
Y el eco de mi voz para que te haga compañía
Quiero despertarte cada día
Con nuevas melodías que tus labios hoy me inspiran

Yo sé lo que has sufrido con amores del pasado
Y las partes de tu cuerpo que con otros has malgastado
Yo se que has perdido la esperanza pero déjame intentarlo

Déjate llevar
Y piérdete en mis labios sin dudar
Dejame intentar
Amarte cada día un poco más
Sin relojes de tiempos perdidos
Si me dejas me lanzo al vacío
En busca de las redes de tu amor",M,original
T1_TRAIN_0007,"Quieres saber
Si todavía te sigo pensando
Si de nuevo
Me he enamorado
Quieres ocultar y olvidar
Todo lo que ha pasado
El tiempo no ha cambiado
El tiempo nos ha marcado

Todos los días soportando
Todas tu quejas
Creías que de mi vida
Eras la dueña
Difícil va a ser que yo quiera
Volver a intentarlo
Ahora que te vuelvo a encontrar
Ya lo tengo bien decidido

Ya no soy
El tonto idiota
Que se enamoro
De una locura
De una obsesión
Quiero sеr libre
Y brillar como el sol
Espero no volvеr a encontrarte
Ya he logrado borrarte
He logrado sacarte de mis sueños
El amor es
Libertad

Me olvide del paisaje
Por mirar el camino
Y olvide los amigos
Después de todo lo que he sufrido
Pude comprender
Que nadie es dueño de nadie
Y nadie nunca lo será",NM,original
T1_TRAIN_0008,"No quiero separarme de ti
Ni siquiera un momento
No quiero perder el tiempo

Ay! Llévame despacio que no hay prisa
Ve dejando en mi camisa una ruta de besos
Que me lleve al mismo cielo

Ay! Pégate sin miedo con malicia
Lléname de tu sonrisa el corazón
A ritmo de tu cuerpo

La música se adueña de mi
Yo me pierdo en tu cuerpo
Tú me quemas con tu fuego

Los dos en un solo cuerpo
Bailando lento",NM,original
T1_TRAIN_0009,"Vamos a ver si es verdad
Que tú sirves, Caridad, para arrollar
Se escucha el ritmo sonoro
Quítate de la acera
De tu chancleta sin par
Mira que te tumbo
Cuando la clave de oro
Suena la conga al pasar
Ah, eh...
Baila mulata sandunguera
Luce tu falda almidoná
Mueve tu rítmica cadera
Sigue la conga que se va
Entre esa bulla hechicera
Tu alma difundida еstá
Que pero que viene La Sonora
Arrollando por el mundo",NM,original
T1_TRAIN_0010,"tickets as low as $42

Aunque no te importe nada
La vida de un delfín
Nadarás a fin de siglo
En tu pecera

Si no sabes si eres rata
O una masa amorfa más
Sólo basta darle un beso al espejo

Si no quieres entender
Que invernando están las brujas
Amárrate a una escoba y vuela lejos, lejos

Muy lejos
Aunque no puedas
Aunque te mueras",NM,original
T1_TRAIN_0011,"Juro, lo juro, juro, lo juro

Amarte a ti es como adivinar lo que dirás
Otra historia inventarás
¿Qué pudo ser?
¿Por qué habrás cambiado así?
No quiero ser quien tenga que dudar de ti

Me enamoré de tu sinceridad
Pero sé bien que ya no existe más
Hazme sentir que puedo creer en ti
Si no es así, ya no podré seguir

Con mis sentimientos
Tú estás jugando
Así no puedo seguir",NM,original
T1_TRAIN_0012,"Uh-uh-uh

Tú quieres conmigo, pero tu corazón tiene dueño
Eso ya no sirve, llévalo a una casa de empeño Yeah
Y si no sabe' olvidar, tranquila, yo te enseño Enseño
Trato de no pensarte, pero me sale' hasta en los sueño' Yeah

Yo te sigo la máquina
Sé que piensa' en él
Pero ese cabrón no merece tus lágrima'
Solo déjate de él, yo hago lo demá'
Baby, pasa la página Uh-uh
Ya tú no ere' de él, periódico de ayer
Dile que tiene' a alguien má'
Que te lo hace mejor y no pelea por nada ¡Rra!

Baby, yo 'toy para ti, pero dime tú
Si quiere' que esto avance, cámbiame la lu'
La puerta del ataúd déjasela abierta
Que esa relación ya está muerta Wuh
Dice que te quiere y mira su actitud
Baby, tú resalta' entre la multitud
Tú no eres común, tú ere' otra vuelta
Pide pura' cosa' rica', mami, está compuesta
La noche se presta, no quiero indirecta'
Yo quería amarrarte pero tú anda' suelta
Y antes que te vaya', mami, pon la webcam
Quítate la ropa para verte completa
Tú eres loca, más, pero yo soy igual
Ese cabrón te resta, yo te voy a sumar
Porque tú eres cara como un Audemars
Con el fondo azul, igualita al mar

Bebé, tranquila, no llores por él, yo puedo ser tu paño
Pasamo' de ser extraño' a tirarno' tres polvo' en el mismo baño
Y sabes que si te toco se te forma un charco
Te compro el mundo entero, yo vacío el banco
Te saco la G-Wagon, asiento' en blanco
Quizá somo' diferentes, pero yo me adapto
Baby, no te de' mala vida
De esa depresión yo soy la única salida
Cuando te lo pongo tú te sientes viva
Bloquea a ese cabrón para que ni te escriba",M,original
T1_TRAIN_0013,"Pasa y siéntate, tranquilízate
Al fin ya estás aquí, ¿qué más te da?

Imagínate que yo no soy yo
Que soy el otro hombre que esperabas ver
Un desconocido que te ha escrito un verso
Y te dibujó la Luna en un trozo de papel
Un amante improvisado, misterioso, apasionado
Que te dio una cita en este hotel

Desnúdate ahora y apaga la luz un instante
Y hazme el amor como lo haces con esos amantes
Te juro que hoy es la última vez que te burlas de mí
Que me engañas
Y fueron mis manos las que te escribieron la carta
Han sido mis celos los que te pusieron la trampa
Y es mi corazón el que llora de pena por dentro
Pero te dejo y me marcho, para siempre",NM,original
T1_TRAIN_0014,"Que Dios me bendiga
Por toda la vida
Me dicen candela
Yo toy encendida
Hell yeah
I don’t care
Natural Goddess air
Brujas
We ride
East side
West side

Despierta la diosa
Es una experiencia religiosa
Reza con el alma dichosa
Eres magia
Eres cosmica
Eres poderosa
Bendita eres entre todas la diosas

Mi fuerza
Viene de mi ser
Placer despierta mi poder
Mi gozo mueve el universo
Yo soy su verso mas perverso",NM,original
T1_TRAIN_0015,"La luz de la tarde venia de ti
Cuidabas las flores y al viejo jardín
Yo andaba despacio, simulando no mirar
Y tu me llamabas y me dabas de tu pan

Soy pobre del mundo
Mendigo de Dios
Manchado de amores
Ladrón de calor

Y vivo en tu puerta
Para verte tan solo pasar",NM,original
T1_TRAIN_0016,"JXHN.P Beats

Ey No voy a llorar
Cuando salga el sol Cuando salga el sol
Siento que va mal Mal
Mi circulación Mi circulación
No me gusta el dinero, me gusta lo que tengo y verte reír Reír
Todo lo tiraste, todo lo soltaste, lo dejaste ir De ti

¿Cómo estás tan bien? No, lo puedo hacer
Dime cómo es, fuck the CV
Te amo y se va, medicina y vape
Creo que vo' a morir, dime cómo es, ey
Aunque diga que no quiera
Y aunque diga que te odio
Me pone' un montón Montón
Que el día no nos vigile
Que digas que siga y siga

You were the one, now it’s all done
Now that you are gone
I write these songs
Girl, I am not dumb, you were the one
I know you are numb
Now it is all done
Bullshit, me dijo fuck tus excusas
Que este pueblo ya me aburre
Que me fuese si tanto amaba a la luna
Tal vez regrese cuando no quede ninguna
Y es que nada es como antes
Perdí las ganas de encontrarte
Ya no más volveré a llamarte
Ya no más voy a llorar-te, e-eh",NM,original
T1_TRAIN_0017,"Dididiri Daddy
Oh, yeah ¡Wuh!
¡Sube!
Contigo la pasé muy bien Mmm, yeh
Quizás esto ni fue real Mmm, ¡jefe!
No te lo voy a negar, no te pueo' sacar de mi mente Dime
Quisiera volver otra vez ¿Cómo?
Y dártelo una vez más Daddy, Daddy
Y yo no me pienso quitar, tú eres mi vicio Su-Sube

Ah, adictiva
Me dejaste con las ganas de probar más de ti
Juquea’o, juquea'o, tú eres
Me tienes desesperao' sin saber na’ de ti Uah, uah; ¡fuimos!

De tu cuerpo un adicto
Yo me endrogo de ti y te desvisto Eh-eh
Baby, yo necesito tu sobredosis como un drogadicto Eh-eh
Tú me tienes enviciao' y yo adentro de ti enterrao' Enterrao'
Bebecita, tú me tienes enfermo
Y si no estás aquí es un infierno, eh-eh
Y nos prendemos en llamas
Y tú gateando en mi cama Uah
Y yo sé que tú a mí no me amas
Pero mi cuerpo te llama; uah, uah Baby
El amor no está aquí, yo lo sé Yo lo sé
Una mentira bien dicha se cree Se cree
Tú eres mi heroína
Y qué rica esa flor con espinas ¡Dime!

Si te dicen que yo me estoy curando, es la verdad
Eres psicoactiva, como la sativa
Real Hasta La Muerte, baby Uh, yeah
Real Hasta La Muerte, baby
Daddy, Daddy, Daddy Yankee, eh Cartel
Uah, uah
You know who is this Ey, ey, ey, ey, ey
El mejor de todos los tiempos, baby Yeh, yeh, yeh
El veintitrés ¡Jajá!
Daddy Yankee y Anuel
Brr Brr",M,original
