song_id,lyrics,label
T1_TRAIN_0005,"ba-baby, muah, jajaja. Quiero que seas mía y nunca de nadie Baby, bebé, si sigo en tu vida fue para quedarme Tú sabe', un amor verdadero nunca se comparte, prometo darte todo y que nada te falte. Me enamoré de ti, de tu figura, de tu cara, y ya no sé qué hacer, me voy a enloquecer, dime si sigo aquí, si entrego todo lo que tengo, o me voy de aquí y te quedas sin mí. Me enamoré de ti Oh-oh-oh, no sé si tú de mí Ri-ri-ri-ri-right, dime si sigo aquí, luchando para ver si algo te hago sentir. Contéstame el teléfono, mami, no digas que no, mira que estoy solo y que te extraño en mi habitación, yo sé que todavía escuchas Aventura, y lo que siento por ti no es ninguna obsesión. Oye, mami, espérame en la puerta, que voy a recogerte, espero que estés dispuesta, oye, mami, espérame en la puerta, que vine a recogerte, dime qué te cuesta. Me enamoré de ti, no sé si tú de mí, yao', baby, mamacita, dime si sigo aquí luchando para ver si algo te hago sentir, escucha, jaja, cuando el amor llega a tu vida, llega para quedarse, de parte de Maluma, ba-ba-baby, muah, jajaja.",M
T1_TRAIN_0006,"Dejame pintarcon mis caricias, un mundo de ilusiones que jamás conocerías, déjame crear entre mis brazos, ese castillo azul que tu soñaste desde niña. Y déjame calmar ese deseo que tus labios, me pide a gritos que nunca me alejé de tu lado. Quiero regalarte mis manías, y el eco de mi voz para que te haga compañía, quiero despertarte cada día, con nuevas melodías que tus labios hoy me inspiran. Yo sé lo que has sufrido con amores del pasado, y las partes de tu cuerpo que con otros has malgastado, yo se que has perdido la esperanza pero déjame intentarlo. Déjate llevar, y piérdete en mis labios sin dudar, dejame intentar, amarte cada día un poco más, sin relojes de tiempos perdidos, si me dejas me lanzo al vacío, en busca de las redes de tu amor. Quiero darle vida a tu alegría, y matar cada recuerdo que reabra tus heridas, quiero ser guardián de tu sonrisa, y cuidarte cada noche para que duermas tranquila. Sin relojes de tiempos perdidos, si me dejas me lanzo al vacío, en busca de las redes de tu amor.",M
T1_TRAIN_0010,"tickets as low as $42. Aunque no te importe nada, la vida de un delfín, nadarás a fin de siglo, en tu pecera. Si no sabes si eres rata, o una masa amorfa más, sólo basta darle un beso al espejo. Si no quieres entender, que invernando están las brujas, amárrate a una escoba y vuela lejos, lejos. Muy lejos, aunque no puedas, aunque te mueras.",NM
T1_TRAIN_0011,"Juro, lo juro, juro, lo juro, juro, lo juro, juro, lo juro, juro, lo juro, juro, lo juro, juro, lo juro, juro, lo juro. Amarte a ti es como adivinar lo que dirás, otra historia inventarás, ¿Qué pudo ser?, ¿Por qué habrás cambiado así?, no quiero ser quien tenga que dudar de ti. Dime por qué juro, lo juro, juro, me dices siempre solamente mentiras, juro, lo juro, juro, dime por qué juro, lo juro, juro, no dices nunca la verdad, dime por qué juro, lo juro, juro, me dices siempre solamente mentiras, juro, lo juro, juro, dime por qué juro, lo juro, juro, no dices nunca la verdad. Me enamoré de tu sinceridad, pero sé bien que ya no existe más, hazme sentir que puedo creer en ti, si no es así, ya no podré seguir. Con mis sentimientos, tú estás jugando, así no puedo seguir.",NM
T1_TRAIN_0013,"Pasa y siéntate, tranquilízate, al fin ya estás aquí, ¿qué más te da?. Imagínate que yo no soy yo, que soy el otro hombre que esperabas ver, un desconocido que te ha escrito un verso, y te dibujó la Luna en un trozo de papel, un amante improvisado, misterioso, apasionado, que te dio una cita en este hotel. Desnúdate ahora y apaga la luz un instante, y hazme el amor como lo haces con esos amantes, te juro que hoy es la última vez que te burlas de mí, que me engañas, y fueron mis manos las que te escribieron la carta, han sido mis celos los que te pusieron la trampa, y es mi corazón el que llora de pena por dentro, pero te dejo y me marcho, para siempre.",NM
T1_TRAIN_0015,"La luz de la tarde venia de ti, cuidabas las flores y al viejo jardín, yo andaba despacio, simulando no mirar, y tu me llamabas y me dabas de tu pan. Soy pobre del mundo, mendigo de Dios, manchado de amores, ladrón de calor. Y vivo en tu puerta, por robarte un solo mirar, soy pobre del mundo, un mendigo de amor. Y vivo en tu puerta, para verte tan solo pasar. Y vivo en tu puerta para verte pasar, yo, yo me rio del mundo, y por ti yo podría.",NM
T1_TRAIN_0018,"¡Eso es!, becky G, ay, ay, eh. Quiere que me anime a bailar Tangana, pero yo bailo quietecito mamá Me dan ganas, pongo cara de que no pasa nada Con el booty-booty, mientras empujas ese booty para atrás. Uh, na, na, na Trá, trá, trá; ¡Plo!, mientras empujas ese booty para atrás, uh, na, na, na Muévelo, mami; ¡Chi chi chi chi chi chi!; ¡hit it!, uh, na, na, na Trá, trá, trá, mientras empujo todo este booty para atrás, uh, na, na, na Trá, trá, trá; ¡Con mi boom bom bom ba!, pongo cara de que no pasa nada ¡Juh!. Paratra', para atrás', para atrás' Trá, papi, te dejo que te acerque' un poco más, para atrás', para atrás', para atrás' Yeh, este culo lo heredé de mi mamá Wuah, booty, booty, booty, booty, booty, booty, booty, you say you like my booty and I know you wanna do me, booty, booty, booty, booty, booty, booty, booty, dutty wine hasta abajo, disfrútala, amor, think you need a snack, candy Becky G Trá', te pongo a babear si bailo para ti, yo soy mala mujer Ja si vengo para Madrid, agárrate fuerte si juegas aquí, papito, tú sabes, si empiezo, no quieres que acabe, para arriba, para abajo Sí. Aún no vi su cara, no sé cómo se llama Yeh, ese booty habla sin decir nada Nah, brrr, tráelo sin pijama ¿Qué fue?, quiere conocer todoos los rincones de mi cama De mi cama; ¡Ja!, cuando quieras te hago visita guiada De madrugada, aquí tienes tu butaca reservada Woh, pon-pon ese culo tuyo encima de mi cara, quiero dar Quiero dar las gracias a tu mamá ¡Mwah!, gracias, por esa forma de andar Wow, aguacate para cenar, los demás me dan igual, que aquí nadie ha visto nada, no te tie's que preocupar ¡Eh!, pon esa chapa a vibrar. Fuck you, págame, fuck you, págame, fuck you, págame, fuck you, paga-.",NM
T1_TRAIN_0020,"Oye, hay una cosa que te quiero decir, mira. Quiero darte un beso en HD, tenerte en 3D, verte a full color, llamarte y todo eso me hace bien, pero ya te quiero ver, en vivo es mejor. Para hacerte toda' esas cositas que a ti te gustan, llegar hasta el cielo, y hacerlo en la luna. Mejor dime dónde estás y paso a buscarte Eh-eh, que voy a darte, que voy a darte, algo inolvidable, mejor dime dónde estás y paso a buscarte Oh no, que voy a darte, que voy a darte, algo inolvidable, oh. Me vuelvo, me vuelvo loco, me vuelvo, me vuelvo loco, me vuelvo, me vuelvo loco, sin ti yo, sin ti yo, me vuelvo, me vuelvo loco, me vuelvo, me vuelvo loco, me vuelvo, me vuelvo loco, yeh. Me gustas más que el Netflix, viviendo nuestra movie, encajamos como Tetris, cuando bailas mi music, si tú pasas del tema, y te me pones exclusive, me voy con Greeicy y con Anitta pa’l jacuzzi. Contigo yo soy trending topic, mamita, tú te ves tan epic, tan rica como un buen Gin Tonic, mostrándome tu lado sexy, contigo yo soy trending topic, mamita, tú te ves tan epic, tan rica como un buen Gin Tonic, mostrándome tu lado sexy, yeah. Desde Cádiz para el mundo, ¿Que quiénes somos? Sin ti yo, yo, yo, cNCO, me vuelvo loco Sin ti yo, yo, yo, abraham Mateo-eo, cNCO Sin ti yo, yo, yo, eh, eh, me vuelvo loco Sin ti yo, yo, yo, eh, eh, ay Sin ti yo, yo, yo, oh baby Sin ti yo, yo, yo, me vuelvo, me vuelvo loco, me vuelvo, me vuelvo loco, hmmm, tú me vuelves loco.",NM
T1_TRAIN_0021,"Algo me dice que ya no volverás, estoy seguro que esta vez no habrá marcha atrás, después de todo fui yo a decirte que no, sabes bien que no es cierto, estoy muriendo por dentro. Y ahora es que me doy cuenta que sin ti no soy nada, he perdido las fuerzas, he perdido las ganas, he intentado encontrarte en otras personas, no es igual, no es lo mismo, nos separa un abismo. Vuelve que sin ti la vida se me va, oh, vuelve que me falta el aire si tu no estas, oh, vuelve, nadie ocupara tu lugar. Sobra tanto espacio si no estas, no paso un minuto sin pensar, sin ti la vida lentamente se me va. Algo me dice ya no sirve de nada, tantas noches en vela aferrado a mi almohada, si pudiera tan solo regresar un momento, ahora es que te comprendo, ahora es cuando te pierdo. Y a pesar que fui yo a decirte que no, sin embargo aqui sigo insistiendote.",NM
T1_TRAIN_0022,"Levantarás el pulgar, te mostraré mi guarida, no te entregaras, como piloto de prueba, hoy no serás el rehén, de esos rumores de guerra, cuidaremos la flor, en este planeta de arena. Es un día común, un día común en la superficie, dame un día común, un día común, emociones simples. Solo tenemos una doble vida, sonríe por mi doble vida. Donde esta ese pase especial, para salir del subsuelo?, si después del temblor, hay solo mascaras chinas, y tu reencarnación, tropezando en la avenida. Hazlo por mi, ah ah ah ah ah ah, ah-ha. Y Si después del temblor, hay solo mascaras chinas, y tu reencarnación, tropezando en la avenida. Y Sonríe por mi, todos tenemos una doble vida, hazlo por mi, doble vida, sonríe por mi, todos tenemos una doble vida, hazlo por mi, siempre quisimos esta doble vida Ah-ah-ah.",NM
T1_TRAIN_0027,"Cada flor que tú me entregas solo huele a disculpa, en tu conciencia es donde llevas la culpa, no me pidas más perdón, ya no sé si la recuerdas cada vez que me besas, si en la cama todavía la deseas, si la buscas en mi piel. Estoy cansada, ya no quiero perdonarte, no me insistas más, ya no me quedan lágrimas para llorarte, y ahora que te vas. Llévate todo lo que nos herimos, tu amor nunca estuvo a la altura del mío, hasta te regalo tu deuda conmigo, no vuelvas aquí, llévate todos los años perdidos, lo que me juraste y nunca has cumplido, no te debo nada, te irás tan vacío, te quedas sin mí, te quedas sin mí. Llévate el valor con el que me fallaste, y la ropa que con ella te quitaste, llévate la cara con que me miraste, cuando, por cobarde, sé que me engañaste, llévate el perfume que te delataba, y mi lado ingenuo que te perdonaba, llévatelo todo, ya no quiero nada, no te quiero nada, no te quiero nada.",NM
