Unnamed: 0,song_id,lyrics,label,artist_name,song_title
0,T1_TRAIN_0001,"Llama no importa la hora que yo estoy aquí, entre las cuatro paredes de mi habitación, y es importante al menos decirte, que esto de tu ausencia duele, y no sabes cuanto, ven aparece tan sólo comunícate, que cada hora es un golpe de desolación, es demasiado aburrido no estar a tu lado. Ven que mi alma no quiere dejarte ir, que los minutos me acechan, aquí todo es gris, que alrededor todo es miedo y desesperanza, ven que nunca imaginaba como era estar sola, que no es nada fácil cuando te derrotan, que no sé que hacer, y aquí no queda nada de nada. No me enseñaste cómo estar sin ti, ¿Y qué le digo yo a este corazón?, si tu te has ido y todo lo perdí, ¿Por dónde empiezo, si todo acabó?, no me enseñaste cómo estar sin ti, ¿Cómo olvidarte si nunca aprendí?. Llama y devuélveme todo lo que un día fui, esta locura de verte se vuelve obsesión, cuando me invaden estos días tristes, siempre recuerdo mi vida, yo como te amo, ven que mi cuerpo la pasa extrañándote, que mis sentidos se encuentran fuera de control, es demasiado aburrido no estar a tu lado. Ven que nunca imaginaba como estar sola, que no es nada fácil cuando te derrotan, que no sé que hacer, que aquí no queda nada de nada. No me enseñaste cómo estar sin ti, ¿Y qué le digo yo a este corazón?, si tu te has ido y todo lo perdí, ¿Por dónde empiezo, si todo acabó?, ¿Cómo olvidarte si nunca aprendí?. No me enseñaste, amor, cómo lo hago sin ti. No me enseñaste cómo estar sin ti, ¿Y qué le digo yo a este corazón?, si tu te has ido y todo lo perdí, ¿Por dónde empiezo, si todo acabó?, ¿Cómo olvidarte si nunca aprendí?, no me enseñaste cómo estar sin ti, ¿Y qué le digo yo a este corazón?, si tu te has ido y todo lo perdí, ¿Por dónde empiezo, si todo acabó?, ¿Cómo olvidarte si nunca aprendí?, no me enseñaste como estar sin ti, ¿Y qué le digo yo a este corazón?, si tu te has ido y todo lo perdí, ¿Por dónde empiezo, si todo acabó?, ¿Cómo olvidarte si nunca aprendí?.",NM,,
1,T1_TRAIN_0002,"Pachin!. Viajera, te vas de puerta en puerta, buscando quien te quiera, viajera flor machita y destrichada, que has perdido tu belleza, sin dejar la primavera. Viajera, hoy reflejas en tu rostro, huellas de un triste pasado, por vivir, a tu manera, entregandole a cualquiera, tus caricias pasajeras, sin sentir ningun amor. Viajera, hoy te miro con gran pena, te acompana por donde quiera, el beso de un gran dolor. Ni la sombra te pareces, de lo que fuistes un dia, hoy te tengo compasion, oigame mi amor!. Viajera hoy siento por ti gran pena, flor machita y destrichada, has perdido tu belleza, viajera. Cada vez que yo te miro! Que pena me da mirarte mi nena. Sufrimiento y soledad en tu vida si... eso lo que te espera. Entregandole a cualquiera, tus caricias ... mira pasajeras. Me expreso mi compasion, por tu condicion, y ya no te quiero viajera. Te vas de puerta en puerta, buscando quien te quiera. Pudiste cambiar a tiempo, pero tu no lo querias mi nena. Ni la sombra te pareces, de lo que fuistes un dia mi china!. Hoy me alejo de ti, ya no te quiero a mi lado, mira morena. .... Oye agara la maleta, oye y vete pa' fuera!. A ti nunca te importo nada de mi, y tu lo sabes viajera!. Hoy reflejas en tu rostro, huellas de un triste pasado!. Has viajado Panama, Colombia y el Peru, y vienes de Venezuela. Tu tienes lo malo encima, por eso de ti ya yo! me fui mi nena!. .....Y asi termina la historia mami, de una ... jajaja ... viajera!.",M,,
2,T1_TRAIN_0003,"Te amare toda la vida, todos los años, los meses y los dias, todas las horas, y todos los instantes, mientras pueda latir mi corazón. Te amare toda la vida, todos los años, los meses y los dias, todas las horas, y todos los instantes, mientras pueda latir mi corazón. Tendras las flores de mi amor, en primavera, en el verano, aunmentara el calor con mi pasion, en el otoño. Cuando las hojas caigan, tendra tu vida, una nueva ilusión, en el invierno, tendra el fuego, de mi corazón.",NM,,
3,T1_TRAIN_0004,"Flor de vida, flor de vida, flor de vida, flor de vida, los paisajes cambian, flor de vida, las personas también, flor de vida, un chico de carácter agradable, de suicidio, puede grabarlo en vídeo, de suicidio, flor de vida, los paisajes cambian, puede grabarlo en vídeo. Algo te atrae sin porqués, no se ve, cambia tu ser, da sed, caes en un cuarto sin pared, no es de ayer, te consume, sube en tu interior, es la maldad y el dolor que afloran sin condición, hay quien llora cuando nota su alma sucia y rota, la calma mora y flota, no se coge ni se toca, no se encoge, pero explota, idiota, el rencor brota, es peor que la farlopa, su olor queda en tu ropa, está detrás de todo, de cualquier modo, sin más, te puede encontrar, sólo duele por los poros al principio, sentimiento real y no ficticio, mongolo es verdad, es el inicio, miras y enfilas la salida que se estira, no respiras, y encima, eso propina un bajón en la autoestima, y te vuelves un cabrón que se fascina, por la ira, por el daño y los extraños que caminan, años atrás era imposible pensar, en follar con novia de alguno, que os una algo muy puro que abruma a cualquiera, sentimiento se esfuman, por querer romper su culo en un futuro zulo o duna. La oscuridad cubre mi piel y tu cuerpo también, los polos opuestos se atraen, los valores se caen, esa parte de mí no conoce días felices, se desinhibe, siente pavor por las cosas que ve, por eso escribe, y ¿sabes qué? simplemente es tener sed, miedo a la muerte, a las catástrofes, falta de fe, esa parte de mí nunca sonríe ni busca apoyo, no está muerta, todas las noches duerme en su hoyo, es una parte de mí que no conoces, pero sientes, es un secreto a voces y tú ya sabes que te miente, no busca nada en concreto, es un experto, y con frecuencia las personas me hacen perder el respeto, señora no es Dios, es un cartel que promociona el cáncer, con letras grandes y es la verdad, tiene sus propias reglas, no se conforma, se tranquiliza cuando lo beso, le doy forma como norma. Es una parte de mí que no puedo controlar, una parte de mi cuerpo que me impide respirar, ¿Quién te enseña a volar? No tengo apoyo, no está muerto y por las noches duerme dentro de un hoyo, es una parte de mí que no puedo controlar, una parte de mi cuerpo que me impide respirar, ¿Quién te enseña a volar? No tengo apoyo, no está muerto y por las noches duerme dentro de un hoyo. No sabes por qué vino, cambió tu carácter, tus sentidos, una parte de ti cayó en el olvido, harto, ya no compartes nada con tus amigos, está claro, hay disparos interiores destructivos, cautivo del mal, del no saber qué desear, dolor a los demás causa ansiedad, no puedes, no quieres parar, hieres sin más tras la puerta interior, el rencor vive, se percibe ya que lloras cuando escribes, gimes, te desinhibes por su tacto, es veneno, el miedo y el fuego forjado en el acto, exacto, lo llevas dentro y eso conlleva, sentir como se eleva, no dormir, tener ojeras, se desliza lento, momento, intenso, inmenso, el trauma interno es totalmente enfermo, los recuerdos se pierden, hierven, que la envidia no te encuentre, junto al odio muerden, ahora te empuja a la maldad, busca estar detrás de ti, hacer sufrir, poder vivir y sin más destruir y mirar, insistir por existir, para pudrir, ser infeliz, chequea el beat, un matiz, esto es así. Sufro insomnio por las noches y ya no duermo, esa parte de mí se convierte en un enfermo, y ya no puedo hacer nada, me almohada está empapada, con un agua infernal y demasiado salada, quiero ser como tú, preocuparme por mí mismo, y la elegancia en mis tatoos, la muerte se anuncia en cada parada del bus, nadie lo sabe, no lo ve, y esa parte oscura irá contigo allí donde estés, él se acuerda de ti y como no, siempre te nombra, él sabe que para ti es como el hombre sin sombra, así siempre lo sientes, sabes que va contigo, en cualquier tiempo presente se desatan tus nervios, nadie te cree, es algo serio, y ves imágenes de muertes como un niño serbio, estoy enfermo, no me curo, este es mi lado oscuro, mis nervios se paralizan, mi cabeza hecha trizas y mi cuerpo agoniza. Es una parte de mí que no puedo controlar, una parte de mi cuerpo que me impide respirar, ¿Quién te enseña a volar? No tengo apoyo, no está muerto y por las noches duerme dentro de un hoyo, es una parte de mí que no puedo controlar, una parte de mi cuerpo que me impide respirar, ¿Quién te enseña a volar? No tengo apoyo, no está muerto y por las noches duerme dentro de un hoyo.",M,,
4,T1_TRAIN_0005,"ba-baby, muah, jajaja. Quiero que seas mía y nunca de nadie Baby, bebé, si sigo en tu vida fue para quedarme Tú sabe', un amor verdadero nunca se comparte, prometo darte todo y que nada te falte. Me enamoré de ti, de tu figura, de tu cara, y ya no sé qué hacer, me voy a enloquecer, dime si sigo aquí, si entrego todo lo que tengo, o me voy de aquí y te quedas sin mí. Me enamoré de ti Oh-oh-oh, no sé si tú de mí Ri-ri-ri-ri-right, dime si sigo aquí, luchando para ver si algo te hago sentir. Contéstame el teléfono, mami, no digas que no, mira que estoy solo y que te extraño en mi habitación, yo sé que todavía escuchas Aventura, y lo que siento por ti no es ninguna obsesión. Oye, mami, espérame en la puerta, que voy a recogerte, espero que estés dispuesta, oye, mami, espérame en la puerta, que vine a recogerte, dime qué te cuesta. Me enamoré de ti, de tu figura, de tu cara, y ya no sé qué hacer, me voy a enloquecer, dime si sigo aquí, si entrego todo lo que tengo, o me voy de aquí y te quedas sin mí. Me enamoré de ti Oh-oh-oh, no sé si tú de mí Ri-ri-ri-ri-right, dime si sigo aquí, luchando para ver si algo te hago sentir. Quiero que seas mía y nunca de nadie Baby, bebé, si sigo en tu vida fue para quedarme Tú sabe', un amor verdadero nunca se comparte Nunca se comparte, prometo darte todo y que nada te falte. Me enamoré de ti, de tu figura, de tu cara, y ya no sé qué hacer, me voy a enloquecer, dime si sigo aquí, si entrego todo lo que tengo, o me voy de aquí y te quedas sin mí. Me enamoré de ti, no sé si tú de mí, yao', baby, mamacita, dime si sigo aquí luchando para ver si algo te hago sentir, escucha, jaja, cuando el amor llega a tu vida, llega para quedarse, de parte de Maluma, ba-ba-baby, muah, jajaja.",M,,
5,T1_TRAIN_0006,"Dejame pintarcon mis caricias, un mundo de ilusiones que jamás conocerías, déjame crear entre mis brazos, ese castillo azul que tu soñaste desde niña. Y déjame calmar ese deseo que tus labios, me pide a gritos que nunca me alejé de tu lado. Quiero regalarte mis manías, y el eco de mi voz para que te haga compañía, quiero despertarte cada día, con nuevas melodías que tus labios hoy me inspiran. Yo sé lo que has sufrido con amores del pasado, y las partes de tu cuerpo que con otros has malgastado, yo se que has perdido la esperanza pero déjame intentarlo. Déjate llevar, y piérdete en mis labios sin dudar, dejame intentar, amarte cada día un poco más, sin relojes de tiempos perdidos, si me dejas me lanzo al vacío, en busca de las redes de tu amor. Quiero darle vida a tu alegría, y matar cada recuerdo que reabra tus heridas, quiero ser guardián de tu sonrisa, y cuidarte cada noche para que duermas tranquila. Porque sé lo que has sufrido con amores del pasado, y las partes de tu cuerpo que con otros has malgastado, yo se que has perdido la esperanza, pero déjame intentarlo. Déjate llevar, y piérdete en mis brazos sin dudar, déjame intentar, amarte cada día un poco más. Sin relojes de tiempos perdidos, si me dejas me lanzo al vacío, en busca de las redes de tu amor. Déjate llevar, y piérdete en mis labios sin dudar, dejame intentar, amarte cada día un poco más. Sin relojes de tiempos perdidos, si me dejas me lanzo al vacío, en busca de las redes de tu amor.",M,,
6,T1_TRAIN_0007,"Quieres saber, si todavía te sigo pensando, quieres saber, si de nuevo, me he enamorado, quieres ocultar y olvidar, todo lo que ha pasado, el tiempo no ha cambiado, el tiempo nos ha marcado. Todos los días soportando, todas tu quejas, creías que de mi vida, eras la dueña, difícil va a ser que yo quiera, volver a intentarlo, ahora que te vuelvo a encontrar, ya lo tengo bien decidido. Ya no soy, el tonto idiota, que se enamoro, de una locura, de una obsesión, quiero sеr libre, y brillar como el sol, espero no volvеr a encontrarte, ya he logrado borrarte, he logrado sacarte de mis sueños, el amor es, libertad. Me olvide del paisaje, por mirar el camino, me olvide del mundo, y olvide los amigos, después de todo lo que he sufrido, pude comprender, que nadie es dueño de nadie, y nadie nunca lo será. Ya no soy, el tonto idiota, que se enamoro, de una locura, de una obsesión, quiero ser libre, y brillar como el sol, espero no volver a encontrarte, ya he logrado borrarte, he logrado sacarte de mis sueños, el amor es, libertad. Ya no soy, el tonto idiota, que se enamoro, de una locura, de una obsesión, quiero ser libre, y brillar como el sol, espero no volver a encontrarte, ya he logrado borrarte, he logrado sacarte de mis sueños, el amor es, libertad, el amor es, libertad, el amor es, libertad.",NM,,
7,T1_TRAIN_0008,"No quiero separarme de ti, ni siquiera un momento, no quiero perder el tiempo. Tu sabes que te quiero a morir, que no soy de aspavientos, y que me gusta lento. Ay! Llévame despacio que no hay prisa, ve dejando en mi camisa una ruta de besos, que me lleve al mismo cielo. Ay! Pégate sin miedo con malicia, lléname de tu sonrisa el corazón, a ritmo de tu cuerpo. Lento, baílame lento, así con todo sentimiento, vem cá menina, não me deixe. Lento, cierra los ojos, y vivamos el momento, baila conmigo hasta que veas salir el sol. La música se adueña de mi, yo me pierdo en tu cuerpo, tú me quemas con tu fuego. En tu cintura quiero vivir, respirar de tu aliento, y que me beses lento. Ay! Llévame despacio que no hay prisa, ve dejando en mi camisa una ruta de besos, que me lleve al mismo cielo. Ay! Pégate sin miedo con malicia, lléname de tu sonrisa el corazón, a ritmo de tu cuerpo. Lento, baílame lento, así con todo sentimiento, vem cá menina, não me deixe. Lento, cierra los ojos, y vivamos el momento, baila conmigo hasta que veas salir el sol. Los dos en un solo cuerpo, bailando lento. Lento, baílame lento, así con todo sentimiento, vem cá menina, não me deixe. Lento, cierra los ojos, y vivamos el momento, baila conmigo hasta que veas salir el sol.",NM,,
8,T1_TRAIN_0009,"Vamo'a ver si es verdad, que tú sirves, Caridad, pa' arrollar, se escucha el ritmo sonoro, quítate de la acera, de tu chancleta sin par, mira que te tumbo, cuando la clave de oro, quítate de la acera, suena la conga al pasar, ah, eh..., baila mulata sandunguera, quítate de la acera, luce tu falda almidoná, mira que te tumbo, mueve tu rítmica cadera, quítate de la acera, sigue la conga que se va, entre esa bulla hechicera, tu alma difundida еstá, vamo'a ver si es verdad, quе tú sirves, Caridad, pa' arrollar, quítate de la acera, mira que te tumbo, quítate de la acera, ah, eh..., baila mulata sandunguera, quítate de la acera, luce tu falda almidoná, mira que te tumbo, mueve tu rítmica cadera, quítate de la acera, sigue la conga que se va, entre esa bulla hechicera, tu alma difundida está, vamo'a ver si es verdad, que tú sirves, Caridad, pa' arrollar, quítate de la acera, mira que te tumbo, ay, pero quítate de la acera, oye, mira que te tumbo, quítate de la acera, mira que te tumbo, que pero que viene La Sonora, arrollando por el mundo, quítate de la acera, mira que te tumbo, ay, pero mira que te tumbo, mira que te tumbo, quítate de la acera, mira que te tumbo, quítate de la acera, mira que te tumbo, quítate de la acera, mira que te tumbo, quítate de la acera, mira que te tumbo, quítate de la acera, mira que te tumbo, quítate de la acera, mira que te tumbo.",NM,,
9,T1_TRAIN_0010,"tickets as low as $42. Aunque no te importe nada, la vida de un delfín, nadarás a fin de siglo, en tu pecera. Si no sabes si eres rata, o una masa amorfa más, sólo basta darle un beso al espejo. Si no quieres entender, que invernando están las brujas, amárrate a una escoba y vuela lejos, lejos. Muy lejos, aunque no puedas, aunque te mueras.",NM,,
