song_id,lyrics,label
T1_TRAIN_0005,"ba-baby
Muah, jajaja
[Letra de ""Me Enamore De Ti""]

[Pre-Coro]
Quiero que seas mía y nunca de nadie (Baby, bebé)
Si sigo en tu vida fue para quedarme (Tú sabe')
Un amor verdadero nunca se comparte
Prometo darte todo y que nada te falte

[Coro]
Me enamoré de ti, de tu figura, de tu cara
Y ya no sé qué hacer, me voy a enloquecer
Dime si sigo aquí, si entrego todo lo que tengo
O me voy de aquí y te quedas sin mí

[Post-Coro]
Me enamoré de ti (Oh-oh-oh)
No sé si tú de mí (Ri-ri-ri-ri-right)
Dime si sigo aquí
Luchando para ver si algo te hago sentir

[Verso 1]
Contéstame el teléfono, mami, no digas que no
Mira que estoy solo y que te extraño en mi habitación
Yo sé que todavía escuchas Aventura
Y lo que siento por ti no es ninguna obsesión

[Puente]
Oye, mami, espérame en la puerta
Que voy a recogerte, espero que estés dispuesta
Oye, mami, espérame en la puerta
Que vine a recogerte, dime qué te cuesta

[Coro]
Me enamoré de ti, de tu figura, de tu cara
Y ya no sé qué hacer, me voy a enloquecer
Dime si sigo aquí, si entrego todo lo que tengo
O me voy de aquí y te quedas sin mí

[Post-Coro]
Me enamoré de ti (Oh-oh-oh)
No sé si tú de mí (Ri-ri-ri-ri-right)
Dime si sigo aquí
Luchando para ver si algo te hago sentir

[Pre-Coro]
Quiero que seas mía y nunca de nadie (Baby, bebé)
Si sigo en tu vida fue para quedarme (Tú sabe')
Un amor verdadero nunca se comparte (Nunca se comparte)
Prometo darte todo y que nada te falte

[Coro]
Me enamoré de ti, de tu figura, de tu cara
Y ya no sé qué hacer, me voy a enloquecer
Dime si sigo aquí, si entrego todo lo que tengo
O me voy de aquí y te quedas sin mí

[Outro]
(Me enamoré de ti, no sé si tú de mí)
Yao', baby, mamacita
(Dime si sigo aquí luchando para ver si algo te hago sentir)
Escucha, jaja, cuando el amor llega a tu vida, llega para quedarse
De parte de Maluma, ba-ba-baby
Muah, jajaja",M
T1_TRAIN_0006,"
[Letra de ""Dejame intentar""]

[Verso 1]
Dejame pintarcon mis caricias
Un mundo de ilusiones que jamás conocerías
Déjame crear entre mis brazos
Ese castillo azul que tu soñaste desde niña

Y déjame calmar ese deseo que tus labios
Me pide a gritos que nunca me alejé de tu lado

Quiero regalarte mis manías
Y el eco de mi voz para que te haga compañía
Quiero despertarte cada día
Con nuevas melodías que tus labios hoy me inspiran

[Pre-Estribillo]
Yo sé lo que has sufrido con amores del pasado
Y las partes de tu cuerpo que con otros has malgastado
Yo se que has perdido la esperanza pero déjame intentarlo

[Estribillo]
Déjate llevar
Y piérdete en mis labios sin dudar
Dejame intentar
Amarte cada día un poco más
Sin relojes de tiempos perdidos
Si me dejas me lanzo al vacío
En busca de las redes de tu amor

[Verso 2]
Quiero darle vida a tu alegría
Y matar cada recuerdo que reabra tus heridas
Quiero ser guardián de tu sonrisa
Y cuidarte cada noche para que duermas tranquila

[Pre-Estribillo]
Porque sé lo que has sufrido con amores del pasado
Y las partes de tu cuerpo que con otros has malgastado
Yo se que has perdido la esperanza
Pero déjame intentarlo

[Estribillo]
Déjate llevar
Y piérdete en mis brazos sin dudar
Déjame intentar
Amarte cada día un poco más

Sin relojes de tiempos perdidos
Si me dejas me lanzo al vacío
En busca de las redes de tu amor

Déjate llevar
Y piérdete en mis labios sin dudar
Dejame intentar
Amarte cada día un poco más

Sin relojes de tiempos perdidos
Si me dejas me lanzo al vacío
En busca de las redes de tu amor",M
T1_TRAIN_0010," tickets as low as $42
[Letra de ""Amárrate a una escoba y vuela lejos""]

Aunque no te importe nada
La vida de un delfín
Nadarás a fin de siglo
En tu pecera

Si no sabes si eres rata
O una masa amorfa más
Sólo basta darle un beso al espejo

Si no quieres entender
Que invernando están las brujas
Amárrate a una escoba y vuela lejos, lejos

Muy lejos
Aunque no puedas
Aunque te mueras",NM
T1_TRAIN_0011,"
[Intro]
Juro, lo juro, juro, lo juro
Juro, lo juro, juro, lo juro
Juro, lo juro, juro, lo juro
Juro, lo juro, juro, lo juro

[Estrofa 1]
Amarte a ti es como adivinar lo que dirás
Otra historia inventarás
¿Qué pudo ser?
¿Por qué habrás cambiado así?
No quiero ser quien tenga que dudar de ti

[Coro]
Dime por qué (juro, lo juro, juro)
Me dices siempre solamente mentiras
(Juro, lo juro, juro)
Dime por qué (juro, lo juro, juro)
No dices nunca la verdad
Dime por qué (juro, lo juro, juro)
Me dices siempre solamente mentiras
(Juro, lo juro, juro)
Dime por qué (juro, lo juro, juro)
No dices nunca la verdad

[Estrofa 2]
Me enamoré de tu sinceridad
Pero sé bien que ya no existe más
Hazme sentir que puedo creer en ti
Si no es así, ya no podré seguir

[Coro]
Dime por qué (juro, lo juro, juro)
Me dices siempre solamente mentiras
(Juro, lo juro, juro)
Dime por qué (juro, lo juro, juro)
No dices nunca la verdad
Dime por qué (juro, lo juro, juro)
Me dices siempre solamente mentiras
(Juro, lo juro, juro)
Dime por qué (juro, lo juro, juro)
No dices nunca la verdad

[Puente]
Con mis sentimientos
Tú estás jugando
Así no puedo seguir

[Coro]
Dime por qué (juro, lo juro, juro)
Me dices siempre solamente mentiras
(Juro, lo juro, juro)
Dime por qué (juro, lo juro, juro)
No dices nunca la verdad
Dime por qué (juro, lo juro, juro)
Me dices siempre solamente mentiras
(Juro, lo juro, juro)
Dime por qué (juro, lo juro, juro)
No dices nunca la verdad",NM
T1_TRAIN_0013,"
[Letra de ""La Cita""]

[Intro]
Pasa y siéntate, tranquilízate
Al fin ya estás aquí, ¿qué más te da?

[Pre-Coro]
Imagínate que yo no soy yo
Que soy el otro hombre que esperabas ver
Un desconocido que te ha escrito un verso
Y te dibujó la Luna en un trozo de papel
Un amante improvisado, misterioso, apasionado
Que te dio una cita en este hotel

[Coro]
Desnúdate ahora y apaga la luz un instante
Y hazme el amor como lo haces con esos amantes
Te juro que hoy es la última vez que te burlas de mí
Que me engañas
Y fueron mis manos las que te escribieron la carta
Han sido mis celos los que te pusieron la trampa
Y es mi corazón el que llora de pena por dentro
Pero te dejo y me marcho, para siempre

[Pre-Coro]
Imagínate, que yo no soy yo
Que soy el otro hombre que esperabas ver
Un desconocido que te ha escrito un verso
Y te dibujó la Luna en un trozo de papel
Un amante improvisado, misterioso, apasionado
Que te dio una cita en este hotel

[Coro]
Desnúdate ahora y apaga la luz un instante
Y hazme el amor como lo haces con esos amantes
Te juro que hoy es la última vez que te burlas de mí
Que me engañas
Y fueron mis manos las que te escribieron la carta
Han sido mis celos los que te pusieron la trampa
Y es mi corazón el que llora de pena por dentro
Pero te dejo y me marcho, para siempre

[Puente]
Desnúdate ahora y apaga la luz un instante
Y hazme el amor como lo haces con esos amantes
Te juro que hoy es la última vez que te burlas de mí
Que me engañas y me hieres
Y fueron mis manos las que te escribieron la carta
Han sido mis celos los que te pusieron la trampa
Fue sorpresa para ti hallarme en el cuarto en lugar de tu amante
Palideciste y te pusiste muy nerviosa

[Outro]
Desnúdate ahora y apaga la luz un instante
Y hazme el amor como lo haces con esos amantes
Es mi corazón el que llora de pena por dentro
Pero me marcho para siempre (Para siempre)
Y fueron mis manos las que te escribieron la carta
Han sido mis celos los que te pusieron la trampa
Imagina que soy tu mejor amante
Hazme el amor y luego adiós",NM
T1_TRAIN_0015,"a
La luz de la tarde venia de ti
Cuidabas las flores y al viejo jardín
Yo andaba despacio, simulando no mirar
Y tu me llamabas y me dabas de tu pan

Soy pobre del mundo
Mendigo de Dios
Manchado de amores
Ladrón de calor

Y vivo en tu puerta
Por robarte un solo mirar
Soy pobre del mundo
Un mendigo de amor

[Instrumental]

Y vivo en tu puerta
Para verte tan solo pasar

Soy pobre del mundo
Mendigo de Dios
Manchado de amores
Ladrón de calor

Y vivo en tu puerta para verte pasar
Yo, yo me rio del mundo
Y por ti yo podría",NM
T1_TRAIN_0018,"
[Letra de ""Booty""]

[Intro: Becky G, C. Tangana]
(¡Eso e'!)
Becky G
Ay, ay, eh
C

[Pre-Coro: C. Tangana & Becky G]
Quiere que me anime a bailar (Tangana)
Pero yo bailo quietecito mamá (Me dan ganas)
Pongo cara de que no pasa na' (Con el booty-booty)
Mientras empujas ese booty pa' atrás

[Estribillo: C. Tangana &  Becky G]
Uh, na, na, na (Trá, trá, trá; ¡Plo!)
Mientras empujas ese booty pa'trás
Uh, na, na, na (Muévelo, mami; ¡Chi chi chi chi chi chi!; ¡hit it!)
Uh, na, na, na (Trá, trá, trá)
Mientras empujo to' este booty pa'trás
Uh, na, na, na (Trá, trá, trá; ¡Con mi boom bom bom ba!)
Pongo cara de que no pasa na' (¡Juh!)

[Verso 1: Becky G]
Pa'tra', pa'trá', pa'trá' (Trá)
Papi, te dejo que te acerque' un poco más
Pa'trá', pa'trá', pa'trá' (Yeh)
Este culo lo heredé de mi mamá (Wuah)
Booty, booty, booty, booty, booty, booty, booty
You say you like my booty and I know you wanna do me
Booty, booty, booty, booty, booty, booty, booty
Dutty wine hasta abajo, disfrútala, amor
Think you need a snack, candy Becky G (Trá')
Te pongo a babear si bailo para ti
Yo soy mala mujer (Ja) si vengo pa' Madrid
Agárrate fuerte si juegas aquí
Papito, tú sabes
Si empiezo, no quieres que acabe
Pa' arriba, pa' abajo (Sí)

[Estribillo: C. Tangana, Becky G  & Ambos]
Uh, na, na, na (Trá, trá, trá), ¡Tra!
Mientras empujas ese booty pa'trás
Uh, na, na, na (Trá, trá, trá; Chi chi chi chi chi chi!; eso es)
Uh, na, na, na (Trá, trá, trá)
Mientras empujo to ese booty pa'trás
Uh, na, na, na (Trá, trá, trá; Con mi boom bom bom ba)
Pongo cara de que no pasa na'

[Verso 2: C. Tangana, Becky G]
Aún no vi su cara, no sé cómo se llama (Yeh)
Ese booty habla sin decir nada (Nah, brrr)
Tráelo sin pijama (¿Qué fue?)
Quiere conocer to'os los rincones de mi cama (De mi cama; ¡Ja!)
Cuando quieras te hago visita guiada (De madrugada)
Aquí tienes tu butaca reservada (Woh)
Pon-pon ese culo tuyo encima de mi cara
Quiero dar (Quiero dar) las gracias a tu mamá (¡Mwah!, gracias)
Por esa forma de andar (Wow)
Aguacate pa' cenar, los demás me dan igual
Que aquí nadie ha visto na', no te tie's que preocupar (¡Eh!)
Pon esa chapa a vibrar

[Estribillo: C. Tangana & Becky G ]
Uh, na, na, na (Trá, trá, trá)
Mientras empujas ese booty pa'trás
Uh, na, na, na (Trá, trá, trá; ¡Chi chi chi chi chi chi!; ¡hit it!)
Uh, na, na, na (Trá, trá, trá)
Mientras empujo to' este booty pa'trás
Uh, na, na, na (Trá, trá, trá; Con mi boom bom bom ba)
Pongo cara de que no pasa na' (¡Wuh, eso es!)

[Outro: C. Tangana]
(Fuck you, págame)
(Fuck you, págame)
(Fuck you, págame)
(Fuck you, paga-)",NM
T1_TRAIN_0020,"
[Letra de ""Me Vuelvo Loco""]

[Intro: Abraham Mateo]
Oye
Hay una cosa que te quiero decir
Mira

[Verso 1: Abraham Mateo]
Quiero darte un beso en HD
Tenerte en 3D
Verte a full color
Llamarte y todo eso me hace bien
Pero ya te quiero ver
En vivo es mejor

[Pre-Coro: Joel Pimentel]
Pa' hacerte toda' esas cositas que a ti te gustan
Llegar hasta el cielo
Y hacerlo en la luna

[Coro: Richard Camacho, Abraham Mateo]
Mejor dime dónde estás y paso a buscarte (Eh-eh)
Que voy a darte, que voy a darte
Algo inolvidable
Mejor dime dónde estás y paso a buscarte (Oh no)
Que voy a darte, que voy a darte
Algo inolvidable, oh

[Post-Coro: Christopher Vélez, Abraham Mateo]
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Sin ti yo, sin ti yo
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Yeh

[Verso 2: Erick Brian Colón, Abraham Mateo]
Me gustas más que el Netflix
Viviendo nuestra movie
Encajamos como Tetris
Cuando bailas mi music
Si tú pasas del tema
Y te me pones exclusive
Me voy con Greeicy y con Anitta pa’l jacuzzi

[Refrán: Richard Camacho, Zabdiel De Jesús]
Contigo yo soy trending topic
Mamita, tú te ves tan epic
Tan rica como un buen Gin Tonic
Mostrándome tu lado sexy
Contigo yo soy trending topic
Mamita, tú te ves tan epic
Tan rica como un buen Gin Tonic
Mostrándome tu lado sexy, yeah

[Pre-Coro: Abraham Mateo]
Pa’ hacerte todas esas cositas que a ti te gustan (Te gustan)
Llegar hasta el cielo (Llegar)
Y hacerlo en la luna

[Coro: Abraham Mateo & Richard Camacho]
Mejor dime dónde estás y paso a buscarte
Que voy a darte, que voy a darte
Algo inolvidable
Mejor dime dónde estás y paso a buscarte
Que voy a darte, que voy a darte
Algo inolvidable, oh

[Post-Coro: Abraham Mateo, Richard Camacho]
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Sin ti yo, sin ti yo
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco

[Outro: Abraham Mateo, Erick Brian Colón, Richard Camacho]
Desde Cádiz para el mundo
¿Que quiénes somos? (Sin ti yo, yo, yo)
CNCO
Me vuelvo loco (Sin ti yo, yo, yo)
Abraham Mateo-eo
CNCO (Sin ti yo, yo, yo)
Eh, eh
Me vuelvo loco (Sin ti yo, yo, yo)
Eh, eh
Ay (Sin ti yo, yo, yo)
Oh baby (Sin ti yo, yo, yo)
Me vuelvo, me vuelvo loco
Me vuelvo, me vuelvo loco
Hmmm, tú me vuelves loco",NM
T1_TRAIN_0021,"
[Letra de ""Vuelve""]

[Verso 1]
Algo me dice que ya no volverás
Estoy seguro que esta vez no habrá marcha atrás
Después de todo fui yo a decirte que no
Sabes bien que no es cierto
Estoy muriendo por dentro

Y ahora es que me doy cuenta que sin ti no soy nada
He perdido las fuerzas, he perdido las ganas
He intentado encontrarte en otras personas
No es igual, no es lo mismo
Nos separa un abismo

[Coro 1]
Vuelve que sin ti la vida se me va
Oh, vuelve que me falta el aire si tu no estas
Oh, vuelve, nadie ocupara tu lugar

[Coro 2]
Sobra tanto espacio si no estas
No paso un minuto sin pensar
Sin ti la vida lentamente se me va

[Verso 2]
Algo me dice ya no sirve de nada
Tantas noches en vela aferrado a mi almohada
Si pudiera tan solo regresar un momento
Ahora es que te comprendo
Ahora es cuando te pierdo

[Coro 1]
Vuelve que sin ti la vida se me va
Oh, vuelve que me falta el aire si tu no estas
Oh, vuelve, nadie ocupara tu lugar

[Coro 2]
Sobra tanto espacio si no estas
No paso un minuto sin pensar
Sin ti la vida lentamente se me va

[Puente]
Y a pesar que fui yo a decirte que no
Sin embargo aqui sigo insistiendote

[Coro 1]
Vuelve que sin ti la vida se me va
Oh, vuelve que me falta el aire si tu no estas
Oh, vuelve,nadie ocupara tu lugar

Vuelve que sin ti la vida se me va
Oh, vuelve que me falta el aire si tu no estas
Oh, vuelve, nadie ocupara tu lugar",NM
T1_TRAIN_0022,"
[Letra de ""Día Común - Doble Vida""]

[Verso 1]
Levantarás el pulgar
Te mostraré mi guarida
No te entregaras
Como piloto de prueba
Hoy no serás el rehén
De esos rumores de guerra
Cuidaremos la flor
En este planeta de arena

[Puente]
Es un día común
Un día común en la superficie
Dame un día común
Un día común
Emociones simples

[Coro]
Solo tenemos una doble vida
Sonríe por mi doble vida

[Verso 2]
Donde esta ese pase especial
Para salir del subsuelo?
Si después del temblor
Hay solo mascaras chinas
Y tu reencarnación
Tropezando en la avenida

[Puente]
Es un día común
Un día común en la superficie
Dame un día común
Un día común
Emociones simples

[Coro]
Solo tenemos una doble vida
Sonríe por mi (mhm) doble vida
Hazlo por mi todos tenemos una doble vida
Sonríe por mi doble vida

[Post-Coro]
Hazlo por mi
Ah ah ah ah ah ah
Ah-ha

[Verso 3]
Y Si después del temblor
Hay solo mascaras chinas
Y tu reencarnación
Tropezando en la avenida

[Coro]
Y Sonríe por mi, todos tenemos una doble vida
Hazlo por mi, doble vida
Sonríe por mi, todos tenemos una doble vida
Hazlo por mi
Siempre quisimos esta doble vida (Ah-ah-ah)

[Outro]
Hazlo por mi
Ah ah ah ah ah ah
Ah-ha, Ah-ha (Ah-ha, Ah-ha)
Ah-ha, Ah-ha (Ah-ha, Ah-ha)",NM
