id,lyrics,label
T2_TRAIN_0001,".
Que no me falte tu cuerpo jamás, jamás
Ni el calor de tu forma de amar, jamás...
Ni la ternura de tu despertar
Que no me falte jamás
Que tu cariño no sea fugáz, jamás
Sin tí no habría encontrado esta paz, jamás
Que me da calma y acaricia mi alma
Que no me falte jamás...
Jamás, jamás, he dejado de ser tuyo
Lo digo con orgullo
Tuyo nada más
Jamás, jamás, mis manos han sentido
Más piel que tu piel
Porque hasta en sueños te he sido fiel
No dejaré de quererte jamás, jamás
No dejarás de quererme jamás, jamás
Con un amor sin cadenas, ni edad
Que no me falte jamás...
Jamás, jamás, he dejado de ser tuyo
Lo digo con orgullo
Tuyo nada más
Jamás jamás, mis manos han sentido
Más piel que tu piel
Porque hasta en sueños te he sido fiel
Que no me falte tu cuerpo jamás, jamás
Tus risas ni tus silencios jamás, jamás
Que no me falten tus besos jamás
Que no me falte tu cuerpo jamás...",NR
T2_TRAIN_0002,"
[Letra de ""Que Te Vaya Bonito""]

[Verso 1]
Ojalá que te vaya bonito
Ojalá que se acaben tus penas
Que te digan que yo ya no existo
Y conozcas personas más buenas

Que te den lo que no pude darte
Aunque yo te haya dado de todo
Nunca más volveré a molestarte
Te adoré, te perdí, ya ni modo

[Coro]
¡Cuántas cosas quedaron prendidas
Hasta dentro del fondo de mi alma!
¡Cuántas luces dejaste encendidas
Yo no sé como voy a apagarlas!

(Amor, que te vaya bonito, amor)

[Verso 2]
Ojalá que mi amor no te duela
Y te olvides de mí para siempre;
Que se llenen de sangre tus venas
Y te vista la vida de suerte

Yo no sé si tu ausencia me mate
Aunque tengo mi pecho de acero
Pero nadie me llame cobarde
Sin saber hasta donde la quiero

[Coro]
¡Cuántas cosas quedaron prendidas
Hasta dentro del fondo de mi alma!
¡Cuántas luces dejaste encendidas
Yo no sé como voy a apagarlas!

Ojalá que te vaya bonito",NR
T2_TRAIN_0003,"
[Coro:]
Ay me canse de rogarle (yo ah)
Ay me canse de decirle (aja ah)
Ay me canse de rogarle (yo ah)
Ay me canse de decirle (aja ah)

[Verso 1:]
Me cansé de rogarle
Me cansé de decirle
Que yo sin ella de pena muero
Pero como se me acabó el dinero
Si sus labios se abrieron fue pa' decirme ya no te quiero
Amor sincero solo en tus sueños
Yo sentí que mi vida se perdía en un abismo
Profundo y negro como mi suerte
Tratar de detenerte sería sencillo
Si en mi cartera hubiera un gran cheque
Quise hallar el olvido al estilo jalisco
Pero resulte ser mas regio que el puto cabrito
No se si me explico, cuando se acaba la lana
Las mujeres vuelan como los pajaritos

[Coro:]
Ay me canse de rogarle (yo ah)
Ay me canse de decirle (ella pide, pide y pide)
Ay me canse de rogarle (aja ah)
Ay me canse de decirle (ella pide, pide y pide)

[Verso 2:]
Me canse de rogarle
Con el llanto en los ojos
Alce mi cheve y brindé por ella
Por la convenenciera
Por que alguien mas la quiera
Enterrada muchos metros bajo de la tierra
Sin una pinche moneda
No podía despreciarme esa nena
Era el ultimo brindis de un rapero por una perra
Lo triste de todo es que no valió la pena
Desde ahora sangre fría corre por mis venas
Los mc's se callaron, de mi mano sin fuerza
Cayo mi 'guama sin darme cuenta (hey trame la cuenta)
Ella quiso quedarse cuando vio mi cartera
Pero ya estaba escrito que la puta se fuera

[Coro:]
Ay me canse de rogarle (yo ah)
Ay me canse de decirle (ella pide, pide y pide)
Ay me canse de rogarle (aja ah)
Ay me canse de decirle (ella pide, pide y pide)",H
T2_TRAIN_0004,"
[Letra de ""Te Conozco""]

[Verso 1]
Te conozco desde el pelo hasta la punta de los pies
Sé que roncas por las noches y que duermes de revés
Sé que dices que tienes veinte cuando tienes veintitrés
Te conozco cuando ríes y tus gestos al amar
Sé de aquella cirugía que a nadie le has de contar
Sé que odias la rutina un poco más que a la cocina

[Coro]
Dime si él te conoce la mitad
Dime si él tiene la sensibilidad
De encontrar el punto exacto
Donde explotas al amar
Dime si él te conoce la mitad
Dime si él te ama la mitad
De lo que te ama este loco
Que dejaste en libertad

[Verso 2]
Reconozco lo que piensas antes que empieces a hablar
Sé de tus 150 dietas para adelgazar
Sé que padeces de insomnio y que fumas sin parar
Imagino esas charlas que en mi honor han de entablar
Y hasta sé lo que este viernes le has de hacer para cenar
Y es que tanto te conozco que, hasta sé, me has de extrañar

[Coro]
Dime si él te conoce la mitad
Dime si él tiene la sensibilidad
De encontrar el punto exacto
Donde explotas al amar
Dime si él te conoce la mitad
Dime si él te ama la mitad
De lo que te ama este loco
Que dejaste en libertad

[Coro]
Dime si él te conoce la mitad
Dime si él te ama la mitad
De lo que te ama este loco
Que dejaste en libertad

[Outro]
Y es que tanto te conozco
Que hasta podría jurar
Te mueres por regresar",S
T2_TRAIN_0005,"Letra subida por enriquembu

Soy un hombre divertido
Yo no se lo que es tristeza
Soy un hombre divertido
Yo no se lo que es llorar
Soy un hombre divertido
Y cuando llego a una fiesta
Soy un hombre divertido
Yo me pongo a parrandear

Soy un hombre divertido
Soy un hombre divertido
Soy un hombre divertido
Soy un hombre de verdad
Soy un hombre divertido
Y cuando llego a una fiesta
Soy un hombre divertido
Yo me pongo a parrandear

Soy un hombre divertido
Yo no se lo que es tristeza
Soy un hombre divertido
Yo no se lo que es llorar
Soy un hombre divertido
Y cuando llego a una fiesta
Soy un hombre divertido
Yo me pongo a parrandear

Soy un hombre divertido
Me gusta las diversiones
Soy un hombre divertido
Yo no se lo que es sufrir
Soy un hombre divertido
Por eso nunca me canso
Soy un hombre divertido
De cantar y de reir

De cantar y bailar
De cantar y bailar
Da bailar y reir
De bailar y reir
De colarme a la fiesta
Buscarme una geva
Y reirme de ti
JA, JA, JA, JA, JA

De cantar y bailar
De cantar y bailar
Da bailar y reir
De bailar y reir
De colarme a la fiesta
Buscarme una geva
Y reirme de ti

Conmigo no te metas
Porque a mi se me respeta X 2
Ja, ja

Señores vamos a comenzar ahora un jueguito
En el que necesitamos la participacion de la banda
Y la participación de ustedes tambien directamente
Como diría Tony Echavarría Canbunbo
Todo lo que yo diga ustedes lo repiten

Arriba la manoArriba la mano X2
Abajo la mano Abajo la mano X 2
Peguese un poquito Peguese un poquito X 2
Un poquito mas Un poquito mas X 2
Desen un besito Desen un besito X 2
Una palmadita Una palmadita X 2

Seguimos Si X2
Paramos No X2
Seguimos Si X2
Paramos No X2

Agachate ja ja ja
Agacha Agachate y agacha
Agachate y agacha X 6
Agachate

Menea
Meneate y menea X7
Meneate

Viva mi QuisquellaViva X 2
Viva Puerto Rico Viva X 2
Que viva Colombia Viva X 2
Viva Venezuela Viva X 2
Viva Panamá Viva X 2
Y que viva Honduras Viva X 2

Agacha, Agachate y agacha
Agachate y agacha X4
Agachate

Menea, Meneate y menea
Meneate y menea X 4
Meneate

Sacude, Sacudete y sacude
Sacudete y sacude X 6
Sacudete

Seguimos Si
Paramos No X2
Seguimos Si
Paramos No
Seguimos Si
Paramos No X2
Seguimos Si
Paramos No

Que viva QuisquellaViva X 2
Viva Puerto Rico Viva X 2
Que viva Colombia Viva X 2
Viva Panamá Viva X 2",NR
T2_TRAIN_0006,"[Outro: Offset]
¡Uh!
[Letra de ""Ahora Dice (Real Hasta La Muerte Remix)"" ft. Arcángel, Anuel AA, Cardi B & Offset]

[Intro: Anuel AA, Arcángel, J Balvin, Anuel AA & Ozuna]
Real hasta la muerte, ¿oíste, bebé? (Ah, ah-ah; ¡auh!)
Tú no quieres saber na' de mí (Uh, na-na)
Dime qué fue lo que yo hice mal (Dime qué pasó)
Te pusieron en contra de mí (Uh, na-na)
Pero es peor pedir perdón que perdonar
Se murió una flor (Flor), y cambió de color (Yeah-yeh)
Tú era' mi diabla y yo te daba calor
Fumando pa' olvidarte, pa' matar el dolor
Y a vece' quiero morirme, pero nadie ha muerto de amor (Huh)

[Coro: Ozuna, J Balvin, Arcángel, Ozuna & Anuel AA, *Ozuna & J Balvin*, *Ozuna, Arcángel & Anuel AA*, *Ozuna & Arcángel*]
Ahora dice que no me conoce, no-no-no-no-no
Y si me ha visto se supone que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos (Leggo)
Ahora dice que no me conoce, *no-no-no-no-no*
Y si me ha visto se supone *que en el pasado fue*
Yo sí me acuerdo cuando lo *hacíamos*
*Cuando en la cama nos matábamos*

[Verso 1: Anuel AA]
Te dejaste manipular, tú no sabes amar
Tú dices que tú me odia', pero tú no me va' a olvidar
Tú sabes que tus pierna' yo te las pongo a temblar
Yo te devoraba y tú empezaba' a gritar
Si se muere el amor te traicionan
Te aman, se van y te odian
Y en la muerte es como a las persona'
Que te dejan solo despué' que te lloran
Hablando con la luna como un lobo buscando a su loba
Buscando al demonio que te está devorando en su alcoba
Hablándote mal de mí como si yo ya me morí
Dile a ese infeliz que te la coma como yo te la comí
Y que te haga mojarte como yo te hice venirte
Tú dijiste que encima 'e mi cuerpo estrujá' tú querías morirte, eh

[Puente: J Balvin, J Balvin & Ozuna, Ozuna & Anuel AA]
Solo yo he podido llegarle
Tu cuerpo sabe elevarse
Y cuando tus piernas temblaban
No decías nada, no, no

[Pre-Coro: Ozuna & Arcángel]
Yo sé que nuestro amor es periódico de ayer
¿Tú crees que es fácil mirarte a la cara y que me diga':
""Yo no, no te conozco""? Pues, 'tá to' bien
Tarde o temprano el karma a ti te va a caer, vas a volver
Solita, yo sé que vas a caer
Va a volver a llamarme pa' que te lo vuelva a hacer
Ay, nena, no trate', que no me voy a envolver
Porque dicen, y yo creo, que Lucifer es mujer

[Coro: Cardi B, Cardi B & Ozuna, Cardi B & Anuel AA]
Ahora dice que no me conoce, no-no-no-no-no
Y si me ha visto se supone que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos

[Verso 2: Cardi B & Offset]
You ain't cherish shit when you had it
Turn me back to a savage
Grab your stuff while you at it
Now my heart is cold as my Patek, uh
Man, I guess you feel away now
See me on the way up, you on your way down
You had you a ten, but now you a dub
You ain't here, but you wishing you was
You gon' miss grabbing this ass
Now you can miss me with them subs
You don't gotta check on me
'Ca-ca-cause I got a check on me
I don't need nothing from nobody
Not you especially (Let up)
And-and you know that I'm the baddest
Cartier glasses, Fendi fabric
And I'm years away from basic
And I'm miles away from average, but
One thing ain't adding up to me
How you gon' mess with a bitch that look up to me?
Off'

[Verso 3: Offset]
I cannot let up (Let up)
Hug me like a Gucci sweater (Sweater)
Ain't nobody drippin' wetter (Drippin')
I took the time to write a letter (I took the time)
We worked hard out the ghetto
I don't deserve your heart, know you fed up (Nah)
We both had a broken heart when we met up (Eh)
Your body a piece of art, you don't sell it (Uh)
You know that I miss it, I just wanna kiss it
I scroll through the phone, lookin' how we would kick it (Kick it)
Knock at the door, it's a visit (Huh)
She take that shit off then I fuck in the kitchen (Smash)
His and hers, Mr. and Mrs. (Hey)
When I talk to her baby girl listens (Listen)
I had a dream and you was in it (Dream)
When you gone, I feel like I been sinnin'
Come back, come back, come back (Come back)
You not really rich, got the bomb pack (Bomb)
Dive in the water, have fun with that (Dive)
I might put a daughter or son in that (I might)
I bought you a ring and five hundred racks (Hey)
She like the triangle Balenci bag (Drip)
You know you an angel, come save the bad (Angel)
If you really love me then take me back

[Pre-Coro: J Balvin & Ozuna]
J Balvin, man
Yo sé que nuestro amor es periódico de ayer
¿Tú crees que es fácil mirarte a la cara y que me diga':
""Yo no, no te conozco""? Pues, 'tá to' bien
Tarde o temprano el karma a ti te va a caer, vas a volver
So-so-solita, yo sé que vas a caer
Va a volver a llamarme pa' que te lo vuelva a hacer
Ay, nena, no trate', que no me voy a envolver
Porque dicen, y yo creo, que Lucifer es mujer

[Coro: Arcángel, J Balvin & Ozuna, J Balvin & Anuel AA]
Y ahora dice que no me conoce, no-no-no-no-no
Y si me ha visto se supone que en el pasado fue
Yo sí me acuerdo cómo lo hacíamos
Cómo en la cama nos matábamos

[Outro: Offset]
¡Uh!",S
T2_TRAIN_0007,")
[Letra de ""En Remolinos""]

[Verso 1]
Déjame vivir este sueño
El mejor que he tenido
Una flor, una flor, otra flor
Un maestro, una causa, un efecto
¿Quién sabrá el valor de tus deseos?
¿Quién sabrá?

[Verso 2]
Gira el sol, gira el mundo, gira Dios (Eh)
Energía misteriosa, resplandor
Al soltar mi cuerpo en remolinos, resplandor
Otra flor

[Puente Instrumental]
[Coro]
Paraíso, zona pura, perfección
Florecer mirándote a los ojos, perfección
Florecer mirándome a los ojos, perfección
Florecer los dos, florecer
Florecer los dos, florecer
Florecer (Eh)",NR
T2_TRAIN_0008,"
[Letra de ""Hermanita""]

[Intro]
Aventura

[Verso 1]
Como pasan los años, ayer éramos niños
Mami y papi luchaban por nuestro porvenir
Tú cuidabas de mí, hoy yo velo por ti
Hermanita, te adoro, sé que no eres feliz
Otro golpe en la cara, esto es cada semana
Y como siempre una excusa, ¿qué tú ganas al fin?
Que él se burle de ti, ¿pero qué hago yo aquí?
Aunque quiero ayudarte, tú lo aceptas así

[Pre-Coro]
Tú eres mi sangre, y mi meta es salvarte y rezo por ti
Hermanita, él no te quiere, quiere
Tiene como veinte mujeres, y tú lo ves
Te maltrata, luego tú lo defiendes
Dale mente, no te conviene, ¿qué no lo ves?

[Coro]
Lloras, cada vez que te pega
Lloras, me da rabia y pena
Lloras, cómo siento tu temor
Lloras, en sus manos puedes morir
Lloras, ese hombre te hace sufrir
Lloras, él te hizo ese moretón
Lloras, cuando escupe tu cara
Lloras, y con malas palabras
Lloras, él se siente superior

[Post-Coro]
Ese hombre es un animal
Un cobarde sin dignidad
Por pegarle a una mujer
Él no es digno de que tanto lo ames
Piensa bien, tú eres la culpable
Y tú lo ves

[Puente]
Ladies, keep your head up
Come on!
I'll back

[Verso 2]
Mis sobrinos no deben ver su mami correr
En tu casa hay un monstruo y tú duermes con él
Anda y cuenta las horas que te ha hecho feliz
Luego cuenta los años que te ha hecho sufrir

[Pre-Coro]
Yo no soporto ver mi hermana llorando, ese hombre es una rata
No existe hombre que pueda obligarte
A estar con él, puedes alejarte, ¿que no lo ves?
No es respeto, lo que yo veo es miedo
Tú le temes a ese perro, ¿qué no lo ves?

[Coro]
Lloras, cuando llega a la casa
Lloras, como un perro borracho
Lloras, y te pega sin razón
Lloras, y los niños sólo lo ven
Lloras, y le gritan ""Daddy, no!""
Lloras, ""No le pegues otra vez""
Lloras, ese tipo te humilla
Lloras, y te habla mentiras
Lloras, él no tiene corazón

[Post-Coro]
Debería mejor cambiar
Que me venga a mí a pegar
Yo lo pongo en su lugar

[Outro]
We know better
Lala, I love you
Your little brother got your back
Romeo",V
T2_TRAIN_0009,"R
Corazon como quisiera olvidarte, pero mi vida no puedo
Porque naciste para mi. que dolor que pena llevo en el alma
Despues que te lo di todo, te olvidaste de mi. Si yo pudiera
Olvidarme de ti, se que algun dia te acordaras de mi
Porque fui bueno yo fui todo para ti y la conciencia te MATARA
Sabes bien no te dejaban salir, porque tu eras muy ninay
Te enamoraste de mi, corazon recordare para siempre aquellos
Dias felices que me hicistes vivir. yo pense que te hiba hacer muy
Feliz, despues que te lo di todo y te burlaste de mi. si yo pudiera
Olvidarme de ti se que algun dia te acordaras de mi
Porque fui bueno, yo fui todo para ti y la conciencia te matara
TE MATARA, PORQUE TE AMO MI AMOR
TE MATARA, PORQUE TE QUIERO MI CIELO
TE MATARA, PORQUE TE QUIERO MI AMOR
TE MATARA
TE MATARA TE MATARA
TE MATARA, PORQUE TE QUIERO MI AMOR
TE MATARA, PORQUE TE AMO MI AMOR
TE MATARA, PORQUE TE QUIERO
TE MATARA, PORQUE TE AMO MI AMORRR",V
T2_TRAIN_0010,"o
[Letra de ""El Columpio""]

[Verso 1]
¿Cuántas veces te dije llorando?
""No juegues conmigo, ni me eches mentiras
Porque vas a quedarte en la calle
Tirada y perdida, vendiendo tu vida""
Yo te dije: ""Piensa en lo que dices
¿No ves que la vida es como un columpio?
Cuando sube, se siente bonito
Pero cuando baja, eso duele mucho""

[Coro]
Ya lo ves
Hoy te encuentras perdida, vendiendo tu vida
Y yo muy contento
Quiera Dios que tu cuerpo se seque
Y que de repente se lo lleve el viento

[Verso 2]
No es que tenga yo odio contigo
Y quiera desearte ya tu mala suerte
Pero sí viviré agradecido si estos momentos
Me lleve la muerte

[Coro]
Ya lo ves
Hoy te encuentras perdida, vendiendo tu vida
Y yo muy contento
Quiera Dios que tu cuerpo se seque
Y que de repente se lo lleve el viento",V
