song_id,song_title,artist_id,artist_name,lyrics,language,label,similaridad_porcentaje,estado
4175_bt,Rompe,294,Daddy Yankee,ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella – ella –,es_LATAM,M,8.55,aceptable
87563_bt,Me Estás Tentando,381,Wisin & Yandel,"Título: Usted es Tentador, artista: Wisin Ya & Yandel. La Mente Maestro, hace mucho tiempo su mirada me está diciendo que, usted amaría pasar una noche llena de, fuego, fuego, ella sabe, es el Capitán W en asociación con Yandel, usted sabe que somos Ah. Usted me está tentar, usted me está tentar, usted me está tentar, oh, oh hace mucho tiempo me está mirando, oh, oh, Yandel, su cuerpo que me roe, eh, oye, usted me está despertando, oye, usted me está tentar, oh, usted me está tentar, oh, oh que me está?, su cuerpo que me está domestiándome, eh, usted sabe que me está, me está excitando, eh, oye, permiso. Mi caramelo se suelta, me da el cuerpo, oh me da, oh tentar, oh domar, oh domarme, oh arrancándome, oh domarme, oh domarme, oh domarme.",es_LATAM,M,53.91,aceptable
90914_bt,Obsesión,548,Aventura (Ft. Judy Santos),"Título: Enfurecido, artista: Aventura Ft. Judy Santos. Algo saboreado, Aventura, hola?, shh, sólo escucha. Son las cinco de la mañana y no he dormido nada, pensando en tu belleza, en loco me detendré, el insomnio es mi castigo, tu amor será mi alivio, y hasta que no seas mío no viviré en paz, hoy conocí a tu novio, pequeño y no bueno joven, y sé que no te quiere, por su manera de hablar, además, no lo amas, porque no me da el tamaño, no sabe que te agradará como yo lo haría, pero tendré paciencia, porque no es competencia, por eso no hay razones para que yo lo respete. No, es amor, lo que sientes se llama, una ilusión, en tu pensamiento, que me hace hacer cosas, que funciona mi corazón, y no te negué, y en mi Lexus me quise pasar por tu escuela, me informaron que era una locura que iba a llegar a ti, que te buscaba, que te encontraba, que te encontrabas en calma, pero te quería, pero que te sentías, pero te quería, pero te preocupaba, te preocupaba,",es_LATAM,M,77.39,aceptable
91785_bt,Gasolina,294,Daddy Yankee,"Título: Gasolina, artista: coche Papi Yankee. Oh, oh, oh, oh, oh, oh, oh, oh, hey, ¿quién es esto? Da-ddy Yan-kee, zumbal mambo para que mi gato consiga el motor', zúmbale mambo para que mi gato consiga el motor', zúmbale mambo para que mi gato consiga el motor', que se preparen para que lo que viene sea darle, Mamita duro, sé que no te desharás de él, duro Lo que me gusta es que dejes ir, duro Todos los semenes ella consigue vacilar, duro Mi gato no consigue el motor', que le gusta la gasolina, me da más gasolina, oh, me da más gasolina, me da más gasolina, oh, le gusta la gasolina, le gusta la gasolina, oh, le gusta la gasolina, le gusta la gasolina, me da más gasolina, oh, le encanta la gasolina, le gusta la gasolina, le encanta la gasolina, le encanta la gasolina, oh, le encanta la gasolina",es_LATAM,M,81.54,aceptable
91793_bt,"Lo Que Pasó, Pasó",294,Daddy Yankee,"Es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer, es una mujer,",es_LATAM,M,14.41,aceptable
94950_bt,Trae Ese Ron,58,Violadores del Verso,"Título: Trae a ese Ron, artista: Violadores del Verso. Somos los joteros típicos que trabajamos poco, si en la Jota hay bastardos soy un bastardo más, tontos no lo quieren cuando tomamos el micro, si es necesario soy el regalo, Javier Ibarra es el que canta, así es como cuelga... romper la mierda, no tenemos miedo de ningún bastardo de MC..., trae esa mierda aquí ahora, vengo del mejor grupo que dio a luz a una puta llamada España,",es_ES,NM,61.29,aceptable
99880_bt,Noche de Travesura,428,Héctor –El Father– (Ft. Divino),"Título: Noche de Travesura, artista: Héctor – El Mafi – Ft. Divino. Esta noche es un cruce, esta noche me hace cruzar, te devoraré en la noche oscura, esta noche me hará cruzar, esta noche me hará cruzar, si por la noche te hago enojar, dime, lo que vas a hacer, dime, si te hago dueño de tu piel, si por la noche te hago loco, y dime, lo que vas a hacer. Dale, mambiche, todavía, o te apago el interruptor, interruptor, papá, sigues siendo el teaker, no estás entrometido, papá, esto es lo que hago.",es_LATAM,M,55.09,aceptable
103048_bt,Cucurrucucú paloma,28,Julio Iglesias,"título: Cucurrucucu paloma, artista: Julio Iglesias. Dicen que por las tardes, ya no se había ido con lágrimas puras; dicen que no comió, ya no se había ido en puro a tomar, juran que el mismo cielo, oyó su llanto, cómo sufrió por él, e incluso en su muerte lo llamaba: ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, ay, cantó, de pasión mortal murió, que una paloma triste, muy temprano en la mañana cantará, a la casa sola, con sus pequeñas puertas anchas; juran que esa paloma, es nada más que su alma, que aún espera, que la infeliz, cucurucúcu paloma, cucurúcú paloma, paloma, palomas, palomas, nunca, paloma, paloma, ¿qué van a saber de los amores?",es_ES,NM,83.09,aceptable
109594_bt,¿Con Quién Se Queda El Perro?,37,Jesse & Joy,"título: ¿Quién es el perro que se queda con?, artista: Jesse & Joy. Dices que el sofá te trata bien, incluso si es un poco frío, la cama no es malo incluso si no lo eres, lo que se hace, y la verdad se hace, y hemos hecho mucho daño, no busco a nadie a quien culpar, para qué, siento que no hay vuelta atrás, sé que esta vez no hay vuelta atrás. Antes de tirar nuestras bolsas en la calle, y ponemos la cortina, si vas y voy, esto es serio, si vas y voy, ¿quién se queda con el perro?. Si no me ves llorar es sólo que mi orgullo no me deja, es difícil imaginar que no vas a estar allí, termino de empacar sintiendo que no hay otra salida, me voy de la tostadora y les das lejos, si vas y me voy, si te vas y me voy, si te vas y me voy.",es_LATAM,NM,83.67,aceptable
136897_bt,Ser o No Ser,913,Nach (Ft. Lírico),"Título: Ser o no Ser, artista: Nach Ft. Lyric. Hoy la palabra es parábola y vuela como gárgolas, la palabra es la bala directamente a sus mandíbulas, la plaga que se extiende como el ébola, la fecha colocada en el arco de Légalas, no me llama hijo pródigo, porque soy el hijo pródigo, los hackers buscan mi código, nunca darán con el válido, en este mundo tan rápido, usted cojo e inválido, soy el débil y pálido de la materia gris.Gloriado, soy la luz del vampiro, el fuego ante el escorpión, soy el secreto escondido en papiros, soy la inyección, soy el que paraliza Mcs así como a estatuas de piedra, soy el que trae esa mierda que te hace decir: soy el diablo, soy el chico extraño que rompe el músculo en tu pecho, soy el prometido soy el prometido, soy el prometido de tu techo, soy el prometido, soy el prometido del prometido, soy el prometido del prometido, soy el prometido del prometido",es_LATAM,NM,76.54,aceptable
